Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
10A;2437.412128;2464.628441;-36.94836068;-17.63358044;1.0;1.0;1.0;1.86944000021;0.268934440856;0.108415219813;0.00195388538235;290.0;351.1;0.387803601059;1.0;1.0;1.86944000021;0.268934440856;0.108415219813
11;2473.630141;2521.478347;-43.06179371;-3.902351124;1.0;1.0;1.0;5.76497285117;0.346144641301;0.181952758581;0.00163413944131;290.0;348.57;0.38040536373;1.0;1.0;5.76497285117;0.346144641301;0.181952758581
11A;2521.410271;2538.406312;-37.26761791;-5.348753506;1.0;3.0;3.0;44.9887683382;3.07947094671;1.15954007238;0.0136625117267;300.0;348.57;0.444514607953;3.0;3.0;44.9887683382;3.07947094671;1.15954007238
12;2408.197193;2541.689131;6.241535025;40.5257981;1.0;3.0;3.0;91.1399695819;6.72602207328;1.87879494612;0.0291665709225;300.0;370.27;0.444514607953;3.0;3.0;164.035032927;11.4446626431;3.51324440048
13;2539.981757;2568.235467;-26.53055871;-3.874630282;1.0;3.0;3.0;64.7947548988;4.05548100275;1.96953975899;0.0187159563794;300.0;351.52;0.451302823821;3.0;3.0;64.7947548988;4.05548100275;1.96953975899
14;2540.551369;2558.447835;6.230877798;52.30833288;1.0;3.0;3.0;46.3494981495;3.22805259395;1.21267956622;0.0152806893391;300.0;348.57;0.449754821857;3.0;3.0;46.3494981495;3.22805259395;1.21267956622
15;2584.29098;2627.986927;-72.60339697;-4.031461087;1.0;3.0;3.0;60.3576906628;3.68530401028;1.72761631607;0.0181420748918;300.0;368.09;0.452293995296;3.0;3.0;60.3576906628;3.68530401028;1.72761631607
16;2569.892322;2618.385415;5.945134809;49.40284925;1.0;3.0;3.0;70.3855754068;4.62010047381;1.9408962739;0.0235620142459;300.0;364.57;0.452293995296;3.0;3.0;70.3855754068;4.62010047381;1.9408962739
17;2601.739729;2620.721105;11.67916997;25.31743467;1.0;3.0;3.0;40.6474895677;4.04707990415;1.24734600408;0.02141359118;300.0;364.57;0.452293995296;3.0;3.0;40.6474895677;4.04707990415;1.24734600408
18;2632.10405;2647.684169;-7.314406752;7.932759571;1.0;3.0;3.0;63.4427714879;3.3732578896;2.15022077808;0.017912748047;300.0;375.3;0.452293995296;3.0;3.0;63.4427714879;3.3732578896;2.15022077808
19;2631.825131;2651.868192;7.587559838;53.41100929;1.0;3.0;3.0;54.8960171789;3.89423849566;1.09388868938;0.020520844757;300.0;375.3;0.452293995296;3.0;3.0;54.8960171789;3.89423849566;1.09388868938
20;2635.124457;2683.933031;-28.14762506;17.04728129;1.0;3.0;3.0;108.628177577;5.93043245515;4.46864270787;0.0319734180934;300.0;375.85;0.452293995296;3.0;3.0;108.628177577;5.93043245515;4.46864270787
21;2651.747567;2704.186523;-13.186064;45.48186968;1.0;3.0;3.0;63.567397264;3.46106292904;2.73687522591;0.0188636574204;300.0;375.85;0.452293995296;3.0;3.0;63.567397264;3.46106292904;2.73687522591
22;2652.333603;2684.950329;31.71824881;62.79450514;1.0;1.0;1.0;2.41372394059;0.505802525084;0.526105992876;0.0296844211843;300.0;375.85;0.452293995296;1.0;1.0;2.41372394059;0.505802525084;0.526105992876
23;2698.012997;2724.666089;3.763203782;57.92392817;1.0;3.0;3.0;94.7484409137;5.50695137945;3.43454626111;0.0297318263048;300.0;375.85;0.450714156937;3.0;3.0;94.7484409137;5.50695137945;3.43454626111
24;2718.079847;2753.63422;18.22228771;56.36123661;1.0;2.2;2.0;19.4768686629;2.69463294768;1.07306047627;0.0219139943508;300.0;373.48;0.444970275309;3.0;3.0;279.429670333;41.8936953698;19.1019468641
25;2722.589491;2784.304092;-34.73250739;31.27097736;1.0;3.0;3.0;73.7547629502;3.9934831534;3.14661003495;0.021793246648;300.0;373.48;0.444970275309;3.0;3.0;787.509645531;45.427474689;37.9900695236
25A;2760.103509;2790.956949;-16.02389621;21.53249196;1.0;3.0;3.0;1433.00715034;84.0106949678;53.2489478875;0.360677942378;300.0;347.87;0.428078229729;3.0;3.0;4310.35622988;255.462093321;162.838852514
26;2767.483147;2787.718373;26.37274679;52.56483178;1.0;1.0;1.0;2.19525589843;0.414679487255;0.364775608937;0.00992018602282;300.0;345.15;0.421277783638;2.2;2.0;8.12218191491;1.58861072136;1.4966828336
27;2779.641401;2809.318566;5.974748709;45.23229218;1.0;1.0;1.0;15.2564138037;1.03040963647;0.424475376648;0.00485347202859;300.0;342.17;0.41404951958;3.0;3.0;265.989731377;18.5941131142;7.51414460555
28;2797.530408;2850.675941;-10.71323881;50.57754111;1.0;1.0;1.0;13.948815153;0.809826665308;0.530996434865;0.00355294566525;300.0;340.17;0.401566273218;3.0;3.0;352.182321592;20.6644252497;13.5985506638
29;2831.065797;2886.951963;8.465333836;66.87353996;1.0;1.0;1.0;3.75148020484;0.326843130301;0.0836559532179;0.00134747956971;260.0;386.46;0.389074636688;1.0;1.0;3.75148020484;0.326843130301;0.0836559532179
30;2851.480829;2874.013658;3.006989412;23.60212013;1.0;1.0;1.0;2.96865958963;0.186869225262;0.106690383154;0.000756129978101;260.0;367.93;0.386954670037;1.0;1.0;2.96865958963;0.186869225262;0.106690383154
31;2779.353107;2832.577377;-49.17541795;-2.920480571;1.0;1.0;1.0;18.5642168391;1.12169883345;0.609206551672;0.00504332871844;300.0;342.17;0.41404951958;3.0;3.0;901.275215052;55.3847299022;30.2914052436
32;2818.821224;2862.323371;-30.16105699;-3.962852383;1.0;3.0;3.0;473.357920351;31.3542352384;14.8333248141;0.126094871062;300.0;334.11;0.395752507766;3.0;3.0;2744.50543929;181.790280582;86.002872002
33;2860.099735;2898.016069;-43.62212671;17.74889625;1.0;1.0;1.0;2.34577728025;0.139647163374;0.119927050825;0.000583372887483;260.0;405.62;0.386954670037;1.0;1.0;2.34577728025;0.139647163374;0.119927050825
34;2905.211366;2919.959167;21.92569599;33.58257741;1.0;1.0;1.0;0.174397955584;0.0275343362717;0.0228528778254;0.000347482293935;250.0;416.45;0.377823164683;1.0;1.0;0.174397955584;0.0275343362717;0.0228528778254
35;2912.493585;2941.646592;-45.56533224;19.94295187;1.0;1.0;1.0;1.18843860179;0.0682520303073;0.0543369932996;0.000303817088646;250.0;416.45;0.37139047928;1.0;1.0;1.18843860179;0.0682520303073;0.0543369932996
36;2939.118783;2969.1015;26.73508059;60.35878578;1.0;1.0;1.0;0.0691989066322;0.0120477947078;0.0104058795988;0.00026956017121;250.0;416.45;0.364131653114;1.0;1.0;0.0691989066322;0.0120477947078;0.0104058795988
37;2984.62478;2993.996008;11.64548931;38.65879333;1.0;1.0;1.0;0.498258400461;0.0472543593376;0.012855184943;0.000242142225997;240.0;423.94;0.363413715723;1.0;1.0;0.498258400461;0.0472543593376;0.012855184943
38;2946.994427;3005.902967;-55.48035158;3.823003212;1.0;1.0;1.0;1.40260302326;0.0741869419536;0.0626523326887;0.000397195376323;250.0;423.94;0.364131653114;1.0;1.0;1.40260302326;0.0741869419536;0.0626523326887
39;3004.589972;3018.206658;1.48715289;15.68253739;1.0;1.0;1.0;0.898104396399;0.0483384873149;0.0310063432474;0.000249081843489;240.0;423.94;0.359444490519;1.0;1.0;0.898104396399;0.0483384873149;0.0310063432474
40;3006.687846;3020.916504;-42.94438543;-1.99351405;1.0;1.0;1.0;0.984722578262;0.0531195793391;0.0353398230561;0.000278471004106;240.0;423.94;0.359444490519;1.0;1.0;0.984722578262;0.0531195793391;0.0353398230561
41;3020.819137;3056.963353;23.57189862;44.59553594;1.0;1.0;1.0;0.1738326753;0.026501071653;0.0179002283891;0.000370266998858;240.0;423.94;0.362308934381;1.0;1.0;0.1738326753;0.026501071653;0.0179002283891
42;3051.640462;3075.138686;-22.81216214;5.448141757;1.0;1.0;1.0;1.57405382005;0.0842179762525;0.054876765821;0.000430220977982;240.0;422.04;0.362308934381;1.0;1.0;1.57405382005;0.0842179762525;0.054876765821
43;3047.788025;3090.470171;1.127315572;62.00364883;1.0;1.0;1.0;1.44178308055;0.078090746196;0.0501340498086;0.000393473889134;240.0;422.04;0.362308934381;3.0;3.0;511.03668463;27.6790847213;17.7698982231
44;3067.187215;3119.948646;28.3070027;75.35319583;1.0;2.1;1.0;6.59667706616;1.1624503528;1.08927786626;0.0317721679963;240.0;422.04;0.362308934381;3.0;3.0;45.8805995604;8.04047376549;7.48814667257
45;3090.012303;3102.145199;26.63528468;33.89738254;1.0;1.0;1.0;0.117945928008;0.0198614412325;0.0176988473363;0.000423009297174;240.0;417.73;0.362308934381;3.0;3.0;59.1933153226;9.96782655825;8.8824893654
46;3092.62333;3117.977207;7.006143634;27.88339902;1.0;1.0;1.0;1.27215854645;0.0825647824023;0.0328694346668;0.000443445354963;240.0;414.66;0.362298584127;3.0;3.0;548.65721297;35.7904978962;14.171023341
47;3081.165665;3144.162388;-29.36772338;11.25774586;1.0;1.0;1.0;18.6084129876;0.993736046733;0.702036506782;0.00512634367224;240.0;421.61;0.362308934381;3.0;3.0;985.665099717;52.4396453799;37.0407818464
48;3115.633296;3145.988397;0.157271569;62.39463531;1.0;1.0;1.0;1.67630434273;0.0895344325475;0.0604972507761;0.000460353476462;230.0;409.92;0.360930854168;3.0;3.0;844.522539194;45.1074690872;30.4785297857
49;3133.506634;3199.482686;13.44171576;72.4214638;1.0;2.1;1.0;15.0206017362;1.55760133199;0.460769155795;0.00873369536327;230.0;406.11;0.362876922868;3.0;3.0;661.383059442;68.3524953945;20.19779839
50;3158.346579;3233.590996;-70.88502266;13.42271028;1.0;2.1;1.0;22.3903927051;1.18284599504;0.975665363541;0.00633304609887;240.0;406.11;0.36782227168;3.0;3.0;1947.28175402;102.602205942;84.5582648643
51;3215.565988;3259.36259;-46.44224581;6.677724931;1.0;1.0;1.0;1.42543019658;0.0840250760116;0.0637314728024;0.000362647731325;200.0;400.76;0.371674011881;1.0;1.0;1.42543019658;0.0840250760116;0.0637314728024
52;3198.228968;3298.893535;-5.851306179;57.36305476;1.0;1.0;1.0;20.1477095896;1.07847409462;0.732184539346;0.00551634917551;200.0;406.11;0.383123095319;3.0;3.0;790.868183344;50.439929064;34.3606040766
53;3253.374394;3288.950578;-33.2342179;4.757091136;1.0;1.0;1.0;5.19988575801;0.323339159;0.222913259264;0.001193284178;200.0;379.98;0.380173458541;3.0;3.0;321.77911388;20.489099341;14.133551154
54;3280.198855;3294.63301;0.03400766;16.76519868;1.0;1.0;1.0;1.49181664209;0.0936672362878;0.0778667604522;0.000343444035246;200.0;355.83;0.380173458541;1.0;1.0;1.49181664209;0.0936672362878;0.0778667604522
55;3269.708544;3307.247633;-53.37657246;-25.88950059;1.0;1.0;1.0;0.0688430944248;0.0135521510356;0.0119351993285;0.000355858669317;200.0;356.91;0.386111759439;1.0;1.0;0.991954962837;0.217018496715;0.213221289419
56;3294.536675;3305.190227;-20.92085879;-7.224470129;1.0;1.0;1.0;11.9134131887;0.981321545694;0.32346185462;0.00382879044257;200.0;351.02;0.383123095319;3.0;3.0;618.564018334;52.8862278483;17.4707100993
57;3305.117293;3323.762411;-32.43788088;-1.479524663;1.0;1.0;1.0;1.69211534654;0.11384784937;0.0959807804964;0.000376699904922;200.0;339.62;0.389931256112;3.0;3.0;58.4040373293;3.70774070584;3.10880505214
57A;3315.795123;3325.504718;-2.646695305;9.788847457;1.0;1.0;1.0;11.6313992722;0.728017423454;0.482393442493;0.00264434677484;200.0;327.84;0.389931256112;3.0;3.0;606.037461615;38.8529067808;25.8011604595
58;3331.087126;3346.795454;-23.91006022;-15.37274215;1.0;1.0;1.0;0.474139454927;0.0750693362539;0.0333653477666;0.000407243779766;200.0;305.14;0.389931256112;1.0;1.0;0.474139454927;0.0750693362539;0.0333653477666
59;3295.503518;3380.664484;-48.19479278;39.59514193;1.0;2.1;1.0;18.5277204085;1.13325139952;0.987092149071;0.00442156994478;200.0;352.39;0.389931256112;3.0;3.0;959.986258957;60.0934010243;52.5731772765
59A;3303.802463;3318.361807;-10.73654253;4.428051712;1.0;1.0;1.0;1.73272545528;0.114513719362;0.0913278201312;0.000373509021645;200.0;339.62;0.389931256112;1.0;1.0;1.73272545528;0.114513719362;0.0913278201312
60;3349.664135;3433.519101;-8.943156118;58.60775181;1.0;1.0;1.0;2.06433488096;0.124976098191;0.0829520834134;0.000489820656221;280.0;375.31;0.395379326718;1.0;1.0;2.06433488096;0.124976098191;0.0829520834134
60A;3381.788925;3416.501215;-21.47049888;5.284138996;1.0;1.0;1.0;2.4458088544;0.1528785635;0.10721323216;0.000569582701711;270.0;375.31;0.387429671588;1.0;1.0;2.4458088544;0.1528785635;0.10721323216
61;3397.525251;3440.002179;-58.66481944;-13.34911099;1.0;1.0;1.0;0.867686463486;0.109526588572;0.0388423746232;0.000528233776913;280.0;375.31;0.4036241949;1.0;1.0;0.867686463486;0.109526588572;0.0388423746232
62;3441.539878;3450.4515;-26.17372091;-18.72999172;1.0;1.0;1.0;0.378371848821;0.0559487797155;0.0337911937929;0.000461460325484;280.0;363.29;0.411741358473;1.0;1.0;0.378371848821;0.0559487797155;0.0337911937929
63;3396.520241;3455.364023;9.829087443;61.68643374;1.0;1.0;1.0;1.26005119811;0.125191442038;0.0374966982803;0.000512490397685;280.0;375.31;0.411741358473;1.0;1.0;1.26005119811;0.125191442038;0.0374966982803
64;3463.157101;3480.25012;18.82761903;27.75013105;1.0;1.0;1.0;0.30457298251;0.0499775946997;0.0296153809738;0.000417158302163;280.0;336.4;0.411741358473;1.0;1.0;0.30457298251;0.0499775946997;0.0296153809738
65;3472.026758;3517.201931;34.83779912;60.84701157;1.0;1.0;1.0;0.0114388151138;0.00278361159694;0.00394400874629;0.000388173596713;290.0;350.22;0.411741358473;1.0;1.0;0.0114388151138;0.00278361159694;0.00394400874629
66;3462.774486;3522.433987;-25.44506962;16.47957728;1.0;1.0;1.0;2.2382941338;0.144650280148;0.0990568632955;0.00050410542392;290.0;350.22;0.411741358473;1.0;1.0;2.2382941338;0.144650280148;0.0990568632955
66A;3445.977137;3461.227364;-20.32285595;-9.044109812;1.0;1.0;1.0;1.2927798598;0.146314916405;0.033463427459;0.000489502754065;280.0;363.29;0.411741358473;1.0;1.0;1.2927798598;0.146314916405;0.033463427459
66B;3440.52179;3477.93826;-15.98435369;9.924073467;1.0;1.0;1.0;2.28450763663;0.146931090251;0.0984467477616;0.000515711089038;280.0;375.31;0.411741358473;1.0;1.0;2.28450763663;0.146931090251;0.0984467477616
66C;3473.143042;3506.740806;-3.450110542;20.60732066;1.0;1.0;1.0;1.9795390508;0.127878767525;0.0941258623289;0.000455503468494;290.0;350.22;0.411741358473;1.0;1.0;1.9795390508;0.127878767525;0.0941258623289
66D;3506.740806;3525.669734;14.81570296;26.4811492;1.0;1.0;1.0;0.626049707819;0.0839675657554;0.0320682864163;0.00046168793542;290.0;350.22;0.4121232249;1.0;1.0;0.626049707819;0.0839675657554;0.0320682864163
66E;3517.471302;3546.684788;11.77593594;28.18034069;1.0;1.0;1.0;1.00367307209;0.118544983088;0.0314809370251;0.000526961765703;290.0;350.22;0.41701973472;1.0;1.0;1.00367307209;0.118544983088;0.0314809370251
67;3453.550702;3516.397004;-76.09309446;-18.54299962;1.0;1.0;1.0;0.34704993608;0.0534766072713;0.0301469397905;0.000431361110979;290.0;352.02;0.411741358473;1.0;1.0;0.34704993608;0.0534766072713;0.0301469397905
68;3507.107807;3574.495745;-71.02505349;17.36485236;1.0;1.0;1.0;1.77534351986;0.114339126865;0.0987865997222;0.000451913806068;290.0;350.22;0.420220550105;1.0;1.0;1.77534351986;0.114339126865;0.0987865997222
69;3548.080603;3604.487643;-3.331147314;33.52828413;1.0;1.0;1.0;1.75020778579;0.117874162126;0.090432009041;0.000437578530824;290.0;350.22;0.420220550105;1.0;1.0;1.75020778579;0.117874162126;0.090432009041
70;3567.297735;3607.880917;-39.11946828;4.677503532;1.0;1.0;1.0;1.85768959111;0.125434074786;0.0926818385404;0.00039818710563;270.0;327.68;0.420220550105;1.0;1.0;1.85768959111;0.125434074786;0.0926818385404
71;3599.690308;3646.396536;18.4659096;50.30753569;1.0;1.0;1.0;0.237108039821;0.0456484240436;0.0350800018501;0.000387188564791;250.0;287.0;0.420220550105;1.0;1.0;0.237108039821;0.0456484240436;0.0350800018501
72;3611.212306;3666.697532;2.372337846;30.83414719;1.0;1.0;1.0;1.63810966767;0.11491853048;0.0776291935915;0.000366371802708;240.0;285.92;0.418917674628;1.0;1.0;1.63810966767;0.11491853048;0.0776291935915
73;3654.062136;3672.405572;20.09985971;43.04786308;1.0;1.0;1.0;0.131971390315;0.0268407537097;0.0244571015276;0.000300135487664;200.0;285.92;0.411457683947;1.0;1.0;0.131971390315;0.0268407537097;0.0244571015276
74;3625.682938;3698.455092;-65.33378381;-7.965301587;1.0;1.0;1.0;3.48607308243;0.443182157336;0.149474112189;0.00113711946865;230.0;285.92;0.429193829946;1.0;1.0;3.48607308243;0.443182157336;0.149474112189
75;3682.602476;3737.602129;-57.60367676;1.280054053;1.0;3.0;3.0;35.3096429661;3.12875522555;2.21206831574;0.00537565972727;200.0;284.05;0.451160742983;3.0;3.0;35.3096429661;3.12875522555;2.21206831574
