bldg_code;vulnerability
94081BT0141_01;1.0
94081BT0141_02;1.0
94081CH0190_01;1.0
94081CH0192_01;1.0
94081CH0241_01;1.0
94081CH0244_01;1.0
94081CH0245_01;1.0
94081CH0246_01;1.0
94081CH0248_01;1.0
94081CH0249_01;1.0
94081CH0250_01;1.0
94081CH0251_01;1.0
94081CH0253_01;1.0
94081CH0254_01;1.0
94081CH0255_01;1.0
94081CH0256_01;1.0
94081CI0008_01;1.0
94081CI0009_01;1.0
94081CI0010_01;1.0
94081CI0011_01;1.0
94081CI0012_01;1.0
94081CI0016_01;1.0
94081CI0020_01;1.0
94081CI0167_01;1.0
94081CI0178_02;1.0
94081CI0190_01;1.0
94081CJ0048_01;1.0
94081CJ0049_01;1.0
94081CJ0051_01;1.0
94081CJ0052_01;1.0
94081CJ0053_01;1.0
94081CJ0054_01;1.0
94081CJ0055_01;1.0
94081CJ0066_02;1.0
94081CJ0067_01;1.0
94081CJ0067_02;1.0
94081CJ0068_01;1.0
94081CJ0069_01;1.0
94081CJ0070_01;1.0
94081CJ0071_01;1.0
94081CJ0072_01;1.0
94081CJ0073_01;1.0
94081CJ0074_01;1.0
94081CJ0076_01;1.0
94081CJ0077_01;1.0
94081CJ0100_01;1.0
94081CJ0100_04;1.0
94081CJ0102_01;1.0
94081CJ0154_01;1.0
94081CJ0255_01;1.0
94081CJ0255_02;1.0
94081CJ0255_04;1.0
94081CJ0258_02;1.0
94081CJ0258_03;1.0
94081CK0013_01;1.0
94081CK0014_01;1.0
94081CK0015_02;1.0
94081CK0016_01;1.0
94081CK0017_01;1.0
94081CK0018_01;1.0
94081CK0019_01;1.0
94081CK0020_01;1.0
94081CK0021_01;1.0
94081CK0022_01;1.0
94081CK0048_01;1.0
94081CK0049_02;1.0
94081CK0051_01;1.0
94081CK0052_01;1.0
94081CK0053_01;1.0
94081CK0054_01;1.0
94081CK0056_01;1.0
94081CK0067_01;1.0
94081CK0067_03;1.0
94081CK0068_01;1.0
94081CK0069_01;1.0
94081CK0069_02;1.0
94081CK0070_01;1.0
94081CK0071_01;1.0
94081CK0088_01;1.0
94081CK0089_01;1.0
94081CK0091_01;1.0
94081CK0092_01;1.0
94081CK0093_01;1.0
94081CK0103_01;1.0
94081CK0104_01;1.0
94081CK0105_01;1.0
94081CK0106_01;1.0
94081CK0107_01;1.0
94081CK0108_01;1.0
94081CK0109_01;1.0
94081CK0109_02;1.0
94081CK0112_01;1.0
94081CK0113_01;1.0
94081CK0114_01;1.0
94081CK0175_01;1.0
94081CK0180_01;1.0
94081CK0186_01;1.0
94081CK0187_01;1.0
94081CK0190_01;1.0
94081CK0191_01;1.0
94081CK0203_01;1.0
94081CK0204_01;1.0
94081CK0211_01;1.0
94081CK0213_01;1.0
94081CL0003_01;1.0
94081CL0004_01;1.0
94081CL0006_01;1.0
94081CL0007_01;1.0
94081CL0008_01;1.0
94081CL0009_01;1.0
94081CL0010_01;1.0
94081CL0036_01;1.0
94081CL0037_01;1.0
94081CL0038_01;1.0
94081CL0039_01;1.0
94081CL0041_01;1.0
94081CL0042_01;1.0
94081CL0043_01;1.0
94081CL0044_01;1.0
94081CL0059_01;1.0
94081CL0060_01;1.0
94081CL0062_01;1.0
94081CL0063_01;1.0
94081CL0063_02;1.0
94081CL0068_01;1.0
94081CL0069_01;1.0
94002AE0083_01;1.0
94002AE0084_01;1.0
94002AE0085_01;1.0
94002AE0087_01;1.0
94002AE0088_01;1.0
94002AE0088_02;1.0
94002AE0091_01;1.0
94002AE0099_01;1.0
94002AE0100_01;1.0
94002AE0101_01;1.0
94002AE0174_01;1.0
94002AE0175_01;1.0
94002AF0031_01;1.0
94002AF0033_01;1.0
94002AF0034_01;1.0
94002AF0035_01;1.0
94002AF0051_01;1.0
94002AF0051_02;1.0
94002AF0054_01;1.0
94002AF0055_01;1.0
94002AF0057_01;1.0
94002AF0058_01;1.0
94002AF0060_01;1.0
94002AF0125_01;1.0
94002AF0128_01;1.0
94002AF0134_01;1.0
94002AF0137_01;1.0
94002AF0155_01;1.0
94002AF0156_01;1.0
94002AF0161_01;1.0
94002AJ0014_01;1.0
94002AJ0016_01;1.0
94002AJ0059_01;1.0
94002AJ0059_02;1.0
94002AJ0060_01;1.0
94002AJ0061_01;1.0
94002AJ0062_01;1.0
94002AJ0085_02;2.0
94002AJ0085_03;2.0
94002AJ0086_01;1.0
94002AJ0101_01;1.0
94002AJ0131_01;1.0
94002AK0073_01;1.0
94028BC0117_01;1.0
94028BC0255_02;1.0
94028BC0255_03;1.0
94028BC0255_04;1.0
94028BC0255_05;1.0
94028BC0259_01;1.0
94028BC0276_01;1.0
94028BC0277_02;1.0
94028BC0300_01;1.0
94028BC0300_02;1.0
94028BC0310_01;1.0
94028BC0310_03;1.0
94028BC0310_04;1.0
94028BC0310_05;1.0
94028BC0310_06;2.0
94028BC0310_07;1.0
94028BC0310_08;1.0
94081CI0191_04;1.0
94081CI0191_05;1.0
94081CI0191_08;1.0
94081DJ0124_01;1.0
94081DJ0123_01;1.0
94081CH0162_01;1.0
94081CH0313_01;1.0
94081CI0015_01;1.0
94081CI0019_01;1.0
94081CI0019_02;1.0
94081CI0021_01;1.0
94081CI0022_01;1.0
94081CI0025_01;1.0
94081CI0273_01;1.0
94081CI0275_01;1.0
94081CM0098_02;1.0
94081CL0110_01;1.0
94081CL0110_02;1.0
94081CM0065_02;1.0
94081CI0014_01;1.0
94081CI0026_01;1.0
94081CI0027_01;1.0
94081CI0109_01;1.0
94081CI0110_01;1.0
94081CI0275_02;1.0
