ID;Descrizione;PK;x;y;z
Profilo Progetto;Profilo Progetto;2124468;1658307.77;8176714.38;-5.29
Profilo Progetto;Profilo Progetto;2124478;1658298.07;8176711.98;-5.29
Profilo Progetto;Profilo Progetto;2124488;1658288.36;8176709.57;-5.29
Profilo Progetto;Profilo Progetto;2124498;1658278.65;8176707.17;-5.29
Profilo Progetto;Profilo Progetto;2124508;1658268.95;8176704.76;-5.29
Profilo Progetto;Profilo Progetto;2124518;1658259.24;8176702.36;-5.29
Profilo Progetto;Profilo Progetto;2124528;1658249.52;8176699.99;-5.29
Profilo Progetto;Profilo Progetto;2124538;1658239.8;8176697.66;-5.29
Profilo Progetto;Profilo Progetto;2124548;1658230.06;8176695.4;-5.29
Profilo Progetto;Profilo Progetto;2124558;1658220.3;8176693.21;-5.29
Profilo Progetto;Profilo Progetto;2124568;1658210.52;8176691.11;-5.29
Profilo Progetto;Profilo Progetto;2124578;1658200.72;8176689.13;-5.29
Profilo Progetto;Profilo Progetto;2124588;1658190.9;8176687.26;-5.27
Profilo Progetto;Profilo Progetto;2124598;1658181.06;8176685.49;-5.24
Profilo Progetto;Profilo Progetto;2124608;1658171.2;8176683.83;-5.19
Profilo Progetto;Profilo Progetto;2124618;1658161.32;8176682.28;-5.12
Profilo Progetto;Profilo Progetto;2124628;1658151.42;8176680.85;-5.04
Profilo Progetto;Profilo Progetto;2124638;1658141.51;8176679.52;-4.96
Profilo Progetto;Profilo Progetto;2124648;1658131.58;8176678.3;-4.88
Profilo Progetto;Profilo Progetto;2124658;1658121.65;8176677.17;-4.8
Profilo Progetto;Profilo Progetto;2124668;1658111.7;8176676.11;-4.72
Profilo Progetto;Profilo Progetto;2124678;1658101.75;8176675.11;-4.64
Profilo Progetto;Profilo Progetto;2124688;1658091.8;8176674.15;-4.56
Profilo Progetto;Profilo Progetto;2124698;1658081.85;8176673.2;-4.48
Profilo Progetto;Profilo Progetto;2124708;1658071.89;8176672.26;-4.4
Profilo Progetto;Profilo Progetto;2124718;1658061.93;8176671.32;-4.32
Profilo Progetto;Profilo Progetto;2124728;1658051.98;8176670.38;-4.24
Profilo Progetto;Profilo Progetto;2124738;1658042.02;8176669.44;-4.16
Profilo Progetto;Profilo Progetto;2124748;1658032.07;8176668.5;-4.08
Profilo Progetto;Profilo Progetto;2124758;1658022.11;8176667.55;-4
Profilo Progetto;Profilo Progetto;2124768;1658012.16;8176666.59;-3.92
Profilo Progetto;Profilo Progetto;2124778;1658002.21;8176665.61;-3.84
Profilo Progetto;Profilo Progetto;2124788;1657992.26;8176664.58;-3.76
Profilo Progetto;Profilo Progetto;2124798;1657982.32;8176663.5;-3.68
