bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
94081CK0013_01;1.0;1.0;1.0;0.00264315113285;0.00035709544998;0.000168033999706
94081CJ0051_01;1.0;1.0;1.0;0.00574263314497;0.000694639348428;0.000217439974602
94081CJ0074_01;1.0;1.0;1.0;0.00860327603733;0.000726206667838;0.000188078514773
94081CJ0052_01;1.0;1.0;1.0;0.00117234173919;0.00019132535388;0.000150055570476
94081CJ0073_01;1.0;1.0;1.0;0.0146630369847;0.00058103480422;0.000515655818242
94081CJ0053_01;1.0;1.0;1.0;0.000318151016977;6.24609387076e-05;6.4058305774e-05
94081CJ0054_01;1.0;1.0;1.0;5.80142309898e-05;1.34020771883e-05;1.84993883078e-05
94081CJ0072_01;1.0;1.0;1.0;0.0137270797984;0.000831763055691;0.000405433555067
94081CJ0076_01;1.0;1.0;1.0;0.00377808253408;0.000523951499735;0.000209005202567
94081CJ0055_01;1.0;1.0;1.0;1.09022353973e-05;2.86641802484e-06;4.82345496737e-06
94081CJ0071_01;1.0;1.0;1.0;0.00916916095257;0.000833505854751;0.000215802869097
94081CJ0077_01;1.0;1.0;1.0;0.00343219950927;0.00049200664375;0.000255352368519
94081CJ0069_01;1.0;1.0;1.0;0.00212103119253;0.000340039003591;0.000199311588541
94081CJ0070_01;1.0;1.0;1.0;0.00773683644435;0.000798191438221;0.000215802801446
94081CJ0258_02;1.0;1.0;1.0;3.96999803532e-05;9.78498328709e-06;1.40464319327e-05
94081CJ0066_02;1.0;1.0;1.0;1.38221205547e-05;3.72778163329e-06;6.21507016771e-06
94081CJ0067_01;1.0;1.0;1.0;6.18160157721e-05;1.49525243036e-05;2.10668907892e-05
94081CJ0068_01;1.0;1.0;1.0;0.00573842737184;0.00069574025206;0.000229209717005
94081CJ0102_01;1.0;1.0;1.0;3.46550444576e-06;1.03252184543e-06;1.9724892886e-06
94081CJ0067_02;1.0;1.0;1.0;0.00152005516363;0.000263483652095;0.000179606699569
94081CL0039_01;1.0;1.0;1.0;0.0025937220052;0.000344656711177;0.000160881627496
94081CL0060_01;1.0;1.0;1.0;0.00840562248897;0.000471741343123;0.000252708199228
94081CL0161_01;1.0;1.0;1.0;0.00991377937889;0.00051590840837;0.000395759607843
94081CL0160_01;1.0;1.0;1.0;0.00496420740974;0.000468512280752;0.000124383690701
94081CL0059_01;1.0;1.0;1.0;0.00685524223881;0.000486357575025;0.000126010525354
94081CL0171_01;1.0;1.0;1.0;0.000408014977501;7.73344594794e-05;7.18664530798e-05
94081CL0041_01;1.0;1.0;1.0;0.00832843743658;0.000494001597191;0.000217803206749
94081CL0042_01;1.0;1.0;1.0;0.00952243939001;0.00046708088765;0.000322582230493
94081CL0043_01;1.0;1.0;1.0;0.00891519747259;0.000504081284841;0.000258311102562
94081CL0170_02;1.0;1.0;1.0;0.00170958637307;0.000254529614262;0.000136921258439
94081CL0036_01;1.0;1.0;1.0;0.00617337713361;0.000545358072705;0.000142515703455
94081CL0044_01;1.0;1.0;1.0;0.00753145863317;0.000515046584161;0.000133767820858
94081CL0153_01;1.0;1.0;1.0;0.00245635737701;0.00032876954724;0.000133767800722
94081CL0037_01;1.0;1.0;1.0;0.00963350588042;0.000539607271177;0.000281677605269
94081CL0006_01;1.0;1.0;1.0;0.0100984066718;0.000526383791364;0.00038902919735
94081CL0038_01;1.0;1.0;1.0;0.0106554787463;0.000538857852343;0.000420334401112
94081CL0004_01;1.0;1.0;1.0;0.00278539497041;0.000365145365679;0.000143350880011
94081CL0010_01;1.0;1.0;1.0;0.000897234174725;0.000151353666353;0.000111110869922
94081CL0164_01;1.0;1.0;1.0;0.00636304286595;0.000542015668093;0.000141081005447
94081CL0003_01;1.0;1.0;1.0;0.000776110186099;0.000133679894357;0.000103143077751
94081CL0008_01;1.0;1.0;1.0;0.0101825755323;0.000548982029756;0.000361149940509
94081CL0009_01;1.0;1.0;1.0;0.00436492533479;0.0004752654132;0.00016553346048
94081CL0165_01;1.0;1.0;1.0;0.00891773032049;0.000547749109948;0.000205906745701
94081CL0007_01;1.0;1.0;1.0;0.010515582585;0.000364538349907;0.000352566901223
94081CK0180_01;1.0;1.0;1.0;0.00190420261975;0.000275821247947;0.000142356721774
94081CK0109_02;1.0;1.0;1.0;0.00910174743078;0.000558135984599;0.000227317126933
94081CK0112_01;1.0;1.0;1.0;0.0107050001052;0.000491293887779;0.000418164003205
94081CK0113_01;1.0;1.0;1.0;0.0105147741375;0.000555202670608;0.000333980257845
94081CK0114_01;1.0;1.0;1.0;0.00176067958322;0.000260945360379;0.00014347967073
94081CK0108_01;1.0;1.0;1.0;0.0100540018311;0.000546712967508;0.000318803078551
94081CK0109_01;1.0;1.0;1.0;0.00749954724157;0.000539518570792;0.00015664871682
94081CK0107_01;1.0;1.0;1.0;0.0108519382103;0.00047953165898;0.000360750301249
94081CK0186_01;1.0;1.0;1.0;0.000945431980489;0.000156861275742;0.000127081505937
94081CK0105_01;1.0;1.0;1.0;0.00778307914861;0.000562973146797;0.000146379227634
94081CK0106_01;1.0;1.0;1.0;0.0105814637819;0.000566946114688;0.000323335354045
94081CK0187_01;1.0;1.0;1.0;0.00296507284972;0.00037908574418;0.000170977109295
94081CK0088_01;1.0;1.0;1.0;0.0093584699034;0.000567060522671;0.000214419363304
94081CK0104_01;1.0;1.0;1.0;0.00264634911933;0.000350769571914;0.000157349475234
94081CK0089_01;1.0;1.0;1.0;0.0113038208862;0.000578255999039;0.000373871300859
94081CK0103_01;1.0;1.0;1.0;0.00152573161038;0.000233518443812;0.000141169344913
94081CK0070_01;1.0;1.0;1.0;0.00220872379056;0.000311030037224;0.0001538416872
94081CK0071_01;1.0;1.0;1.0;0.00160716345574;0.000242968549488;0.000143519115061
94081CK0091_01;1.0;1.0;1.0;0.0115448738035;0.000464902909525;0.000380558751332
94081CK0069_01;1.0;1.0;1.0;0.00550146505383;0.000558746671197;0.00015738767048
94081CK0069_02;1.0;1.0;1.0;0.0114048140661;0.000604263111241;0.000346106986264
94081CK0092_01;1.0;1.0;1.0;0.00392370831104;0.000465404123133;0.000156777522686
94081CK0048_01;1.0;1.0;1.0;0.00161868113564;0.000245103108583;0.000146845851154
94081CK0067_03;1.0;1.0;1.0;0.0119693137222;0.000607476069219;0.000392557786002
94081CK0068_01;1.0;1.0;1.0;0.0120771521909;0.000613915027564;0.00039676275489
94081CK0093_01;1.0;1.0;1.0;0.00144504142486;0.000223846346973;0.000141165552509
94081CK0049_02;1.0;1.0;1.0;0.00302581225836;0.00039460526146;0.000160957488374
94081CK0051_01;1.0;1.0;1.0;0.0124554503825;0.00063001742578;0.000407141017774
94081CK0067_01;1.0;1.0;1.0;0.00340485599667;0.000426227517413;0.000160135618683
94081CK0211_01;1.0;1.0;1.0;0.00986535884297;0.000623942974732;0.000191155278884
94081CK0052_01;1.0;1.0;1.0;0.0123607231802;0.000595702926768;0.00040337041159
94081CK0213_01;1.0;1.0;1.0;0.00189905670558;0.000277680677953;0.000177203310675
94081CK0053_01;1.0;1.0;1.0;0.012152631704;0.000625066168352;0.000381320470645
94081CK0054_01;1.0;1.0;1.0;0.0108112549307;0.000636133684132;0.000250556875128
94081CK0204_01;1.0;1.0;1.0;0.00893275352499;0.000640210039626;0.000166579786272
94081CK0022_01;1.0;1.0;1.0;0.00272846387152;0.000365954926126;0.000163979348255
94028BCOAA_016;None;2.0;None;None;None;None
94028BF0273_05;None;3.0;None;None;None;None
940760U0195_01;None;3.0;None;None;None;None
94028BC0310_99;None;3.0;None;None;None;None
940280N0125_02;None;3.0;None;None;None;None
940280N0125_01;None;3.0;None;None;None;None
94076AZGARE_01;None;3.0;None;None;None;None
94081DJ0131_13;None;1.0;None;None;None;None
94081DJ0131_14;None;1.0;None;None;None;None
94081DJ0131_15;None;1.0;None;None;None;None
94081DJ0135_01;1.0;2.0;1.0;1.92605578665e-06;5.94395190557e-07;1.30851412162e-06
94081DJ0139_01;None;2.0;None;None;None;None
94028BF0A86_01;2.0;3.0;1.0;0.00939792481203;0.000346066725128;0.000264879501355
94076AZ00M7_01;1.0;2.0;1.0;1.23241960359e-05;2.92394090826e-06;4.15866386733e-06
94028BE00M8_01;3.0;3.0;3.0;0.0168046683709;0.00130568486662;0.00158387808058
94002AFVL09_01;1.0;2.0;1.0;0.00604515188258;0.000262828931079;0.000257639509751
94081BTVL10_01;1.0;2.0;1.0;0.00912570598345;0.000324616276963;0.000209520667694
94081DIPALP_01;None;3.0;None;None;None;None
94046BI00V1_01;None;3.0;None;None;None;None
94046BI0V2M_01;None;3.0;None;None;None;None
94081DJ0V1T_01;None;3.0;None;None;None;None
94081DJ0V2T_01;None;3.0;None;None;None;None
94081DJ0V2B_01;None;3.0;None;None;None;None
94081DJRERC_01;None;3.0;None;None;None;None
94046BIRERD_01;None;2.0;None;None;None;None
94081XX00T9_01;None;2.0;None;None;None;None
94081DJPTZ5_01;None;1.0;None;None;None;None
94002AKPALP_01;None;3.0;None;None;None;None
94081XXVL10_01;None;2.0;None;None;None;None
94081DITRPL_01;None;2.0;None;None;None;None
94081DI0GRT_01;None;2.0;None;None;None;None
94046BI0GRT_01;None;2.0;None;None;None;None
94028BC00CU_01;None;2.0;None;None;None;None
94081CM0019_02;1.0;2.0;1.0;0.0123883395993;0.000474692240046;0.000505646468423
94081CM0022_01;1.0;2.0;1.0;0.0144728483291;0.000798895117909;0.000519482063431
94081DJ0090_01;1.0;1.0;1.0;0.0212802141976;0.00140101381784;0.000717954391664
