ID;Descrizione;PK;x;y;z
Falda;Falda;2122738;1659591.9;8177423.74;30.56
Falda;Falda;2122748;1659589.52;8177414.02;30.54
Falda;Falda;2122758;1659587.13;8177404.31;30.52
Falda;Falda;2122768;1659584.75;8177394.6;30.5
Falda;Falda;2122778;1659582.36;8177384.89;30.49
Falda;Falda;2122788;1659579.98;8177375.18;30.47
Falda;Falda;2122798;1659577.59;8177365.47;30.45
Falda;Falda;2122808;1659575.2;8177355.76;30.43
Falda;Falda;2122818;1659572.82;8177346.05;30.41
Falda;Falda;2122828;1659570.43;8177336.33;30.4
Falda;Falda;2122838;1659568.05;8177326.62;30.38
Falda;Falda;2122848;1659565.66;8177316.91;30.36
Falda;Falda;2122858;1659563.28;8177307.2;30.35
Falda;Falda;2122868;1659560.89;8177297.49;30.36
Falda;Falda;2122878;1659558.5;8177287.78;30.37
Falda;Falda;2122888;1659556.12;8177278.07;30.37
Falda;Falda;2122898;1659553.73;8177268.36;30.38
Falda;Falda;2122908;1659551.35;8177258.64;30.39
Falda;Falda;2122918;1659548.96;8177248.93;30.4
Falda;Falda;2122928;1659546.58;8177239.22;30.4
Falda;Falda;2122938;1659544.19;8177229.51;30.41
Falda;Falda;2122948;1659541.8;8177219.8;30.42
Falda;Falda;2122958;1659539.42;8177210.09;30.43
Falda;Falda;2122968;1659537.03;8177200.38;30.43
Falda;Falda;2122978;1659534.65;8177190.67;30.44
Falda;Falda;2122988;1659532.26;8177180.95;30.45
Falda;Falda;2122998;1659529.88;8177171.24;30.45
Falda;Falda;2123008;1659527.49;8177161.53;30.46
Falda;Falda;2123018;1659525.07;8177151.83;30.47
Falda;Falda;2123028;1659522.61;8177142.14;30.48
Falda;Falda;2123038;1659520.07;8177132.46;30.48
Falda;Falda;2123048;1659517.42;8177122.82;30.49
Falda;Falda;2123058;1659514.65;8177113.21;30.5
Falda;Falda;2123068;1659511.72;8177103.65;30.51
Falda;Falda;2123078;1659508.61;8177094.15;30.51
Falda;Falda;2123088;1659505.29;8177084.72;30.52
Falda;Falda;2123098;1659501.74;8177075.37;30.53
Falda;Falda;2123108;1659497.96;8177066.11;30.53
Falda;Falda;2123118;1659493.96;8177056.95;30.54
Falda;Falda;2123128;1659489.72;8177047.89;30.55
Falda;Falda;2123138;1659485.27;8177038.94;30.56
Falda;Falda;2123148;1659480.59;8177030.1;30.56
Falda;Falda;2123158;1659475.69;8177021.38;30.57
Falda;Falda;2123168;1659470.58;8177012.79;30.58
Falda;Falda;2123178;1659465.25;8177004.32;30.59
Falda;Falda;2123188;1659459.72;8176995.99;30.59
Falda;Falda;2123198;1659453.98;8176987.8;30.6
Falda;Falda;2123208;1659448.04;8176979.76;30.61
