file_name;bldg_code;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden_tun_dem;depth_fondation;z_fondation;overburden_tun_bldg;d_min_range;angle_bldg_tun;stories_underground_no;stories_overground_no;nb_de_niveaux;sc_vbr_lev;footprint;height_overground;typology;pk_min;pk_max;d_min;d_max
94081CN0092_01_SEN_ind01.pdf;94081CN0092_01;94081CN0092;1;2;40;-1;41;4;36;37;30m < D <= 40m;<30;1;1;1;1;46 X 11;7;building;;;;
94081CN0092_02_SEN_ind01.pdf;94081CN0092_02;94081CN0092;2;1;40;1;39;0;40;39;0m < D <= 10m;entre 30 et 60;0;1;0;2;46 X 30;6;building;;;;
94081CN0092_03_SEN_ind01.pdf;94081CN0092_03;94081CN0092;3;1;40;1;39;0;40;39;10m < D <= 20m;entre 30 et 60;0;0;0;2;15 X 15;5;building;;;;
94081CN0096_01_SEN_ind01.pdf;94081CN0096_01;94081CN0096;1;1;42;-1;43;3;39;40;20m < D <= 30m;entre 30 et 60;1;4;0;2;15 X 13;15;building;;;;
94081CN0096_02_SEN_ind01.pdf;94081CN0096_02;94081CN0096;2;1;41;-1;42;3;38;39;Au dessus de l'axe;entre 30 et 60;1;4;0;2;15 X 13;15;building;;;;
94081CN0096_03_SEN_ind01.pdf;94081CN0096_03;94081CN0096;3;1;41;-1;42;3;38;39;Au dessus de l'axe;entre 30 et 60;1;4;0;2;15 X 13;15;building;;;;
94081CN0096_04_SEN_ind01.pdf;94081CN0096_04;94081CN0096;4;1;43;-1;44;3;40;41;10m < D <= 20m;entre 30 et 60;1;9;0;2;26 X 14;27;building;;;;
94081CN0096_05_SEN_ind01.pdf;94081CN0096_05;94081CN0096;5;2;42;-1;43;3;39;40;Au dessus de l'axe;entre 30 et 60;1;9;0;1;53 X 14;27;building;;;;
94081CN0096_06_SEN_ind01.pdf;94081CN0096_06;94081CN0096;6;2;42;-1;43;3;39;40;10m < D <= 20m;entre 30 et 60;1;9;0;1;32 X 9;27;building;;;;
94081CN0096_07_SEN_ind01.pdf;94081CN0096_07;94081CN0096;7;2;42;1;41;3;39;38;20m < D <= 30m;entre 30 et 60;1;9;0;1;30 X 9;27;building;;;;
94081CN0096_08_SEN_ind01.pdf;94081CN0096_08;94081CN0096;8;2;43;1;42;3;40;39;D > 50m;entre 60 et 90;1;9;0;1;70 X 9;27;building;;;;
94081CN0096_09_SEN_ind01.pdf;94081CN0096_09;94081CN0096;9;2;45;-3;48;4,5;40,5;43,5;D > 50m;entre 30 et 60;1;4;0;1;52 X 9;12;building;;;;
94081CN0096_10_SEN_ind01.pdf;94081CN0096_10;94081CN0096;10;2;45;-3;48;4,5;40,5;43,5;40m < D <= 50m;entre 30 et 60;1;4;0;1;52 X 9;12;building;;;;
94081CN0096_11_SEN_ind01.pdf;94081CN0096_11;94081CN0096;11;1;45;-3;48;6;39;42;30m < D <= 40m;entre 30 et 60;2;14;0;2;12 X 12;41;building;;;;
94081CN0096_12_SEN_ind01.pdf;94081CN0096_12;94081CN0096;12;1;44;-3;47;6;38;41;20m < D <= 30m;entre 30 et 60;2;14;0;2;12 X 12;41;building;;;;
94081CN0096_13_SEN_ind01.pdf;94081CN0096_13;94081CN0096;13;1;45;-1;46;4;41;42;Au dessus de l'axe;entre 30 et 60;1;0;0;2;50 X 10;4;building;;;;
94081CN0096_14_SEN_ind01.pdf;94081CN0096_14;94081CN0096;14;2;45;-1;46;4;41;42;Au dessus de l'axe;entre 30 et 60;1;4;0;1;26 X 12;14;building;;;;
94081CN0096_15_SEN_ind01.pdf;94081CN0096_15;94081CN0096;15;2;45;2;43;6;39;37;10m < D <= 20m;entre 60 et 90;1;9;0;1;52 X 14;27;building;;;;
94081CN0096_16_SEN_ind01.pdf;94081CN0096_16;94081CN0096;16;2;42;2;40;5;37;35;D > 50m;entre 60 et 90;1;9;0;1;53 X 14;27;building;;;;
94081CN0096_17_SEN_ind01.pdf;94081CN0096_17;94081CN0096;17;1;40;-1;41;3;37;38;D > 50m;entre 60 et 90;1;9;0;2;41 X 14;27;building;;;;
94081CN0096_18_SEN_ind01.pdf;94081CN0096_18;94081CN0096;18;1;40;-3;43;3;37;40;D > 50m;entre 30 et 60;1;4;0;2;29 X 11;15;building;;;;
94081CN0096_19_SEN_ind01.pdf;94081CN0096_19;94081CN0096;19;1;41;-3;44;3;38;41;40m < D <= 50m;entre 30 et 60;1;4;0;2;52 X 13;15;building;;;;
94081CN0096_20_SEN_ind01.pdf;94081CN0096_20;94081CN0096;20;2;43;-1;44;0;;non dtermin;D > 50 m;/;0;0;0;1;X;30;building;;;;
94081CN0096_21_SEN_ind01.pdf;94081CN0096_21;94081CN0096;21;2;43;-3;46;0;;non dtermin;30m < D <= 40m;/;0;0;0;1;X;30;building;;;;
94081CN0096_22_SEN_ind01.pdf;94081CN0096_22;94081CN0096;22;2;42;-3;45;0;;non dtermin;0m < D <= 10m;/;0;0;0;1;X;30;building;;;;
94081CN0096_23_SEN_ind01.pdf;94081CN0096_23;94081CN0096;23;1;44;-3;47;11;33;36;Au-dessus de l'axe;entre 30 et 60;3;0;0;2;135 X 50;0;building;;;;
94081CO0175_01_SEN_ind01.pdf;94081CO0175_01;94081CO0175;1;1;43;11;32;3;40;29;30m < D <= 40m;<30;1;4;0;2;30 X 7;14;building;;;;
94081CO0175_02_SEN_ind01.pdf;94081CO0175_02;94081CO0175;2;2;43;11;32;3;40;29;30m < D <= 40m;entre 60 et 90;1;10;0;1;38 X 10;30;building;;;;
94081CO0177_01_SEN_ind01.pdf;94081CO0177_01;94081CO0177;1;1;41;18;23;3;38;20;40m < D <= 50m;<30;1;14;0;2;65 X 22;41;building;;;;
94081CU0141_01_SEN_ind01.pdf;94081CU0141_01;94081CU0141;1;1;43;22;21;4;39;17;30m < D <= 40m;entre 60 et 90;2;14;0;2;22 X 17;42;building;;;;
