BLDG_CODE;PK_MIN;PK_MAX;D_MIN;D_MAX
2151138.15597941;2151138.15597941;2151138.66230402;-3139.1581682306;-3132.12318262379
2151135.33486034;2151135.33486034;2151135.54978051;-3147.58141337428;-3141.2709020262
2151132.42711262;2151132.42711262;2151133.1220836;-3149.04725163897;-3138.34299812085
2151133.86793178;2151133.86793178;2151134.51072182;-3174.71658745079;-3163.06124930267
2151133.45226985;2151133.45226985;2151134.146653;-3167.98565011043;-3157.50278491384
2151136.5135423;2151136.5135423;2151137.35567387;-3114.31232931742;-3104.52356088896
2151133.81001366;2151133.81001366;2151134.59339163;-3109.30735163903;-3095.78988596801
2151132.82713352;2151132.82713352;2151133.45600737;-3142.86786202573;-3132.2668929037
2151137.41545572;2151137.41545572;2151139.37428041;-2345.85906378557;-2313.89306592351
2151132.39198814;2151132.39198814;2151132.72205108;-3118.31195933137;-3113.07387894894
2151130.99029843;2151130.99029843;2151131.80128725;-3004.46876775857;-2992.16010194107
2151131.70146634;2151131.70146634;2151136.63927811;-3039.50043829584;-2969.20514032271
2151135.83001423;2151135.83001423;2151136.38122826;-3141.06120761648;-3127.07729334624
2151131.34606215;2151131.34606215;2151131.99088636;-3131.8611554798;-3121.05104287274
2151145.13486636;2151145.13486636;2151146.20280516;-2895.95349070212;-2879.40578730266
2151135.00092079;2151135.00092079;2151135.70901715;-3111.30972732646;-3097.07836221614
2151136.79643767;2151136.79643767;2151139.04438429;-3052.5135521203;-3024.89167341602
2151135.65071892;2151135.65071892;2151136.20171369;-3110.93594550628;-3103.29877400678
2151134.03955382;2151134.03955382;2151134.75273568;-3133.46628215952;-3125.25116825022
2151136.35256464;2151136.35256464;2151136.63042136;-3101.08846621886;-3092.56999065321
2151133.4697081;2151133.4697081;2151133.75605943;-3156.45127988177;-3151.50111347559
2151142.82345741;2151142.82345741;2151145.161317;-2361.93078689074;-2317.6287036747
2151146.33162325;2151146.33162325;2151149.92448301;-2637.6048068904;-2606.50072941531
