WKT;bldg_code;Address;City;typology;pk_min;pk_max;d_min;d_max
MULTIPOLYGON (((1655613.2512939207 8175823.3557987539,1655615.6868824072 8175824.6708241804,1655671.7254217642 8175857.4741490902,1655674.2353485597 8175858.8998095188,1655678.7303718391 8175851.1912722392,1655617.8188622301 8175815.5354346782,1655613.2512939207 8175823.3557987539)));94081CN0096_08;5/7, Rue de Bourgogne;94081 Vitry-sur-Seine;building;2127266.4911192;2127309.42560796;-152.946874753321;-92.6359755505484
MULTIPOLYGON (((1655346.3933152691 8176472.5606823973,1655329.2014038467 8176463.691100793,1655321.3136945339 8176478.8775365558,1655320.797585584 8176478.6592696654,1655307.339643551 8176504.7879912024,1655289.9981434329 8176495.5861276258,1655281.9654198566 8176510.9961840212,1655293.3286881973 8176516.9099209448,1655294.7033223521 8176514.2300923439,1655297.2121629312 8176515.5443907268,1655298.008802189 8176514.0924002863,1655303.763011487 8176516.9375001155,1655309.4784375625 8176505.7716587251,1655317.1527971318 8176509.8245933149,1655320.7713243351 8176502.9011791926,1655322.3949006989 8176503.7777781403,1655323.6987488314 8176501.4321252033,1655322.0016969086 8176500.5561144007,1655326.4876896951 8176491.8465486998,1655328.11037782 8176492.6119559817,1655329.4133405399 8176490.1551110847,1655327.7897613647 8176489.2785101049,1655330.6851381839 8176483.8065002374,1655332.2343527435 8176484.5724971201,1655333.6824890645 8176481.8920898214,1655336.191334741 8176483.2064056965,1655336.9870985146 8176481.6432275437,1655342.7431012634 8176484.7107541412,1655348.459529201 8176473.6561463587,1655356.1339038261 8176477.7091344558,1655359.0302044137 8176472.3483326873,1655360.5059427235 8176473.1149254497,1655361.8089243413 8176470.6580881672,1655360.3331855692 8176469.8914950592,1655366.127588283 8176459.3922841428,1655367.5298533789 8176460.159466696,1655368.831951495 8176457.5914377589,1655367.5040513331 8176456.9348602807,1655370.5437667193 8176451.1281154538,1655360.4348767346 8176445.8713851161,1655346.3933152691 8176472.5606823973)));94081CU0141_02;120, Rue Camille Groult;94081 Vitry-sur-Seine;building;2127921.13683553;2128010.81631036;40.6832403620745;94.5762276607094
MULTIPOLYGON (((1655611.264834194 8176137.0678001512,1655622.1159139946 8176143.2086843848,1655626.5336123318 8176135.0559142074,1655615.9782111319 8176129.1350694764,1655618.5863344641 8176124.4439028539,1655592.6788804997 8176110.0828373404,1655590.0698867147 8176114.6628226871,1655577.3737403925 8176107.5358897513,1655579.8357665737 8176102.9570687488,1655553.9272265807 8176088.4849901991,1655551.3182540804 8176093.0649935743,1655538.5494145486 8176086.0499279713,1655541.1574937822 8176081.3587253448,1655515.1752718179 8176066.8874127232,1655512.5663206028 8176071.4674341269,1655501.8637158647 8176065.5479777288,1655500.2702002665 8176068.4518992491,1655498.5721588244 8176067.4646417927,1655497.195539451 8176069.9220323917,1655498.9670611487 8176070.9087032396,1655497.5187359045 8176073.5890665688,1655497.4470293387 8176073.8120393902,1655508.223103751 8176079.7309012907,1655510.8311606364 8176075.0396845136,1655536.2981065675 8176089.403883582,1655533.9095902529 8176093.982138006,1655533.8369961593 8176094.0939170504,1655544.6864729396 8176100.0122637767,1655544.7590671706 8176099.9004848739,1655546.8589845854 8176095.9917371916,1655549.6636450447 8176097.526192978,1655549.9531364837 8176096.9678843124,1655574.6806511944 8176110.7821475919,1655574.4646382469 8176111.3398697823,1655577.1958031578 8176112.8749246327,1655575.0967566564 8176116.8948542792,1655575.0241620473 8176117.00663279,1655585.726590198 8176122.9262298532,1655585.7257048755 8176122.8150365306,1655588.3346911913 8176118.2350491155,1655613.7277594176 8176132.6001873063,1655611.264834194 8176137.0678001512)));94081CN0003_02;2, Avenue Albert Thomas;94081 Vitry-sur-Seine;building;2127447.58031035;2127517.65117775;0.599848938313199;137.497095056778
MULTIPOLYGON (((1654221.5393836757 8176828.5138626723,1654214.9877065327 8176827.010830706,1654214.1352659336 8176830.5762497177,1654212.0735210432 8176830.0371714719,1654211.7198596802 8176831.7080848617,1654214.0020161537 8176832.2453536168,1654210.8761072883 8176845.2814935809,1654210.6712140781 8176847.1735871024,1654210.4663210171 8176849.0656806361,1654210.4083690548 8176850.9565678462,1654210.4248004467 8176852.9580450738,1654210.58725983 8176854.8471227977,1654210.8231895121 8176856.7355973702,1654211.2060597918 8176858.6228656443,1654211.5889298227 8176860.5101339463,1654212.1187402525 8176862.396195991,1654212.794578122 8176864.1698586382,1654213.4704155703 8176865.9435213711,1654214.2931931049 8176867.7159779584,1654215.1885275922 8176869.3766383836,1654216.1573317635 8176871.0366958641,1654217.1986928298 8176872.5849572597,1654218.8059100907 8176871.4597579902,1654222.0025466378 8176875.9927480482,1654228.5774473411 8176871.3795602396,1654227.4644440417 8176870.0542860311,1654226.4239979184 8176868.6172159091,1654225.5304917849 8176867.1789400475,1654224.6369851958 8176865.7406643303,1654223.8160358595 8176864.1905925879,1654223.142026714 8176862.63931497,1654222.5405749262 8176860.9762412459,1654222.0135057769 8176859.4237577599,1654221.5580814565 8176857.6482849447,1654221.2505103142 8176855.9827993009,1654221.0164094267 8176854.3167106519,1654220.8548662122 8176852.5388258062,1654220.8411765054 8176850.870928091,1654220.9000446503 8176849.0912341699,1654221.0332960074 8176847.4221304068,1654224.0857565883 8176834.3865990918,1654220.3314500351 8176833.5278071761,1654221.5393836757 8176828.5138626723)));94081AQ0097_01;30, Rue Camelinat;94081 Vitry-sur-Seine;building;2129249.05658436;2129277.66916995;-15.9100091450769;29.0392445973292
MULTIPOLYGON (((1654690.33873385 8176976.2522657942,1654693.9525615429 8176968.8836688893,1654687.2397887097 8176965.6021832414,1654687.1681264851 8176965.8251666669,1654683.5524987851 8176972.9713814016,1654690.33873385 8176976.2522657942)));94081AS0357_01;6, Voie Bellini;94081 Vitry-sur-Seine;building;2128770.62992847;2128781.44221971;-11.8506989926121;-1.06595979699438
MULTIPOLYGON (((1654085.9561749024 8176772.4711702168,1654071.6907995499 8176771.1430096636,1654071.1021117249 8176771.0366564896,1654070.4976371711 8176777.9360767026,1654085.6419065231 8176778.9233969813,1654085.9561749024 8176772.4711702168)));94081AQ0119_01;170, Avenue du Colonel Fabien;94081 Vitry-sur-Seine;building;2129413.74601339;2129430.0235858;-26.7087882214511;-16.6808051016657
MULTIPOLYGON (((1656025.433592903 8176035.819984124,1656021.4507048719 8176033.9609779017,1656018.7783630562 8176039.8756623222,1656024.5318075272 8176042.6103109885,1656027.3511164656 8176036.6944708433,1656025.433592903 8176035.819984124)));94081CM0019_02;41, Rue de Choisy;94081 Vitry-sur-Seine;building;2126936.65893735;2126944.96782637;112.747938303794;121.140725834839
MULTIPOLYGON (((1654770.1006332277 8176972.4912523031,1654777.5435287363 8176975.2109142803,1654780.0599454343 8176968.4072751282,1654772.6170421557 8176965.6876098113,1654772.4737109067 8176966.1335744672,1654770.1006332277 8176972.4912523031)));94081AU0032_01;25, Rue des Flandres;94081 Vitry-sur-Seine;building;2128686.07573474;2128696.49652538;4.03212166633507;14.635053280508
MULTIPOLYGON (((1654601.3554799396 8176966.4117957298,1654605.4860313279 8176968.3797869813,1654607.7981240943 8176963.5793426661,1654606.6924693368 8176963.1435387144,1654603.5206319748 8176961.612545684,1654601.3554799396 8176966.4117957298)));94081AS0369_02;49, Avenue du Moulin de Saquet;94081 Vitry-sur-Seine;building;2128859.37269763;2128865.05340974;-7.38426216852798;-1.2544516358474
MULTIPOLYGON (((1656415.6506492768 8175867.5139946472,1656404.2416006059 8175865.1567390338,1656402.9906438033 8175864.9441148657,1656397.650118802 8175896.2331159394,1656410.3057117979 8175898.2470165296,1656415.6506492768 8175867.5139946472)));94081CI0221_01;6, Rue Bel Air;94081 Vitry-sur-Seine;building;2126562.2001714;2126577.98718879;-84.5172943277745;-51.8597204460506
MULTIPOLYGON (((1656010.3504804494 8176024.1516743144,1655999.4340166049 8176019.0113555808,1655997.4072350147 8176022.9193529785,1656004.9302230622 8176026.3961856076,1656007.8066932859 8176027.7301440258,1656008.4706557961 8176028.0585088031,1656010.3504804494 8176024.1516743144)));94081CM0021_01;37, Rue de Choisy;94081 Vitry-sur-Seine;building;2126954.55572685;2126967.55501803;99.4985067405426;107.83956124534
MULTIPOLYGON (((1654148.3196567367 8176797.0895061446,1654140.3158689451 8176797.7113118973,1654141.0420198874 8176805.6005896712,1654142.2910281108 8176805.5903204633,1654149.0457964172 8176804.9787849542,1654148.3196567367 8176797.0895061446)));94081AQ0314_01;3, Voie Delibes;94081 Vitry-sur-Seine;building;2129345.37295608;2129355.9386774;-22.8428241859494;-12.4817744469548
