WKT;bldg_code;Address;City;typology;pk_min;pk_max;d_min;d_max
POLYGON ((1656041.0689846359 8175940.3981059315,1656041.9376312587 8175938.7232567417,1656034.1895446596 8175934.6699063731,1656036.3563396574 8175929.8712174436,1656033.2578009476 8175928.3388338154,1656033.8360220105 8175927.1110735014,1656031.6227786604 8175926.0165145956,1656031.9849335728 8175925.34645849,1656026.7483812184 8175922.9413278624,1656023.5659832465 8175929.4160309285,1656028.9503725851 8175931.9311935334,1656028.0817287555 8175933.6060447339,1656041.0689846359 8175940.3981059315));94081CI0014_01;7, Rue Georges Martin;94081 Vitry-sur-Seine;building;2150168.42166394;2150175.78922078;-73.2864203776382;-50.7180371966834
POLYGON ((1656232.966244298 8176336.6526076933,1656237.096870969 8176329.2809797842,1656233.4055547649 8176327.0859354781,1656232.1004114423 8176329.3201819081,1656229.3695342969 8176327.7848060904,1656228.2621385232 8176327.1262940774,1656226.086612809 8176330.8129758267,1656222.1739884859 8176328.5084753474,1656228.1397984005 8176320.9000376351,1656224.5228232387 8176318.8156160843,1656217.3166280866 8176327.5457963673,1656228.3905863047 8176334.1309046932,1656232.966244298 8176336.6526076933));94081CK0067_03;19 Rue Talma;94081 Vitry-sur-Seine;building;2150692.73664399;2150712.6896259;-1.24388790946268;17.8331794817129
POLYGON ((1656096.4385271154 8176336.8359112777,1656095.4107208592 8176336.9552013054,1656095.2471375654 8176334.84368286,1656088.1968207594 8176335.3439814188,1656087.7612092588 8176336.0146125741,1656087.9239200137 8176338.0149373766,1656088.2939321878 8176338.3456254983,1656088.5161145381 8176338.5662770681,1656088.6797002943 8176340.6777953226,1656089.7083810405 8176340.6696974821,1656089.7118822867 8176341.1144711897,1656095.6600339592 8176340.6228494141,1656095.5760544306 8176339.289106613,1656096.6038602591 8176339.1698166169,1656096.4385271154 8176336.8359112777));94081CL0004_01;54 avenue Ernest Havet;94081 Vitry-sur-Seine;building;2150569.00579436;2150577.36012752;-27.1684719634016;-18.98064784166
POLYGON ((1656321.9220993745 8176304.5968655217,1656316.7612468018 8176302.4132733308,1656315.2478226558 8176306.2059349408,1656317.4591182971 8176307.0782198654,1656315.0778969666 8176312.6568818856,1656319.8696116754 8176314.6209625015,1656320.1591682639 8176314.0626936937,1656326.499131416 8176316.6818581158,1656329.3860001559 8176309.9872395387,1656322.9716825346 8176307.2574537313,1656322.1056230352 8176309.2658401337,1656320.5573689993 8176308.6107619191,1656320.7734483518 8176308.0530685158,1656320.5521447693 8176307.9436011622,1656321.9220993745 8176304.5968655217));94081CK0019_01;29  rue Gabriel Peri;94081 Vitry-sur-Seine;building;2150790.56112993;2150804.096031;-20.613777203539;-3.35313102524231
POLYGON ((1656552.3921691221 8175808.4008267187,1656562.6108030563 8175808.8772514099,1656562.6773608516 8175807.9871316757,1656602.7452881131 8175810.1216931334,1656604.3488519534 8175780.0851708176,1656544.5729765072 8175776.3248763019,1656544.7570520027 8175771.6530346638,1656518.3639147046 8175770.3018864123,1656517.9828078425 8175777.9776699282,1656514.5272977492 8175777.7822042722,1656513.2439643126 8175801.7002491653,1656516.77294395 8175801.8951412477,1656516.577625925 8175805.1214692639,1656552.3826430582 8175807.1776988497,1656552.3921691221 8175808.4008267187));94081DJ0121_02;90/94, Rue Leon Geffroy;94081 Vitry-sur-Seine;building;2151214.19322119;2151214.19322119;201.452311977765;248.427407863776
POLYGON ((1656405.1614781711 8176208.5358758606,1656475.3335339304 8176226.7807474304,1656477.4754302804 8176218.7576177372,1656475.1979196749 8176199.9825469218,1656472.1815355916 8176190.1092620492,1656466.538391002 8176192.0437035738,1656463.8850447638 8176181.6115886988,1656439.5865169361 8176175.351669373,1656439.3730253421 8176176.2429384962,1656427.8124462939 8176173.2196207792,1656428.1002841215 8176172.438970726,1656417.4231818621 8176169.6311741099,1656412.7869021492 8176187.5706393365,1656410.7251397469 8176187.0307487417,1656405.1614781711 8176208.5358758606));94081CJ0258_03;10, Rue Gabriel Peri;94081 Vitry-sur-Seine;building;2150922.11222407;2150988.73137783;-23.2204597531074;55.9304395911869
POLYGON ((1656227.4359281643 8176306.1159220878,1656226.5454705649 8176305.0109068658,1656223.0614776227 8176301.1462379722,1656222.8401718207 8176301.0367744938,1656220.3585107296 8176303.1690568058,1656221.7676769479 8176304.826001538,1656221.1116140534 8176305.4983522771,1656218.2941534678 8176302.2956569446,1656213.5512707019 8176306.558496383,1656218.8896614693 8176312.6326102121,1656223.5581927814 8176308.2591584902,1656223.1873140829 8176307.8172679609,1656224.0629372341 8176307.0319940932,1656225.1003502617 8176308.1358556645,1656227.4359281643 8176306.1159220878));94081CK0093_01;38, Rue des Ardoines;94081 Vitry-sur-Seine;building;2150691.39585703;2150707.67602573;24.820970877043;35.6352386440584
POLYGON ((1656323.2001367975 8176327.0493144654,1656325.9409117033 8176320.4670381732,1656322.4761522927 8176319.0485632811,1656321.3696366264 8176318.5012262492,1656322.5243804329 8176315.8233775673,1656319.8696116754 8176314.6209625015,1656315.0778969666 8176312.6568818856,1656311.7600850894 8176311.2372627798,1656310.3175316243 8176314.6957698977,1656315.9209821343 8176317.0982904732,1656316.1370606825 8176316.5405968856,1656317.9057455775 8176317.1939476598,1656315.1641076375 8176323.665034418,1656318.9236464405 8176325.192396665,1656323.2001367975 8176327.0493144654));94081CK0020_01;31, Rue Gabriel Peri;94081 Vitry-sur-Seine;building;2150784.94412774;2150795.62192019;-27.661605968027;-8.19329131051284
POLYGON ((1656070.0201310762 8175930.7180189202,1656068.6467290914 8175933.6200416964,1656067.6879530924 8175933.1827912005,1656067.3266701272 8175933.9640383739,1656066.5157349098 8175933.6368240509,1656067.1656938782 8175932.1861017123,1656062.8826856737 8175929.5510272738,1656061.509287091 8175932.4530518046,1656055.1661355523 8175929.5006094286,1656053.5775490371 8175933.0715327775,1656060.0676624535 8175936.0228157518,1656068.9931989976 8175940.2893297747,1656072.534367033 8175942.0406481959,1656076.4385068282 8175933.8922863668,1656074.5200804644 8175932.9065894801,1656070.0201310762 8175930.7180189202));94081CI0012_01;23, Rue de Choisy;94081 Vitry-sur-Seine;building;2150143.30512336;2150158.91796213;-51.409417352365;-31.4969108907359
POLYGON ((1656042.6955305708 8175895.0155752245,1656052.2877487477 8175899.9440113548,1656058.4122380363 8175903.120573584,1656066.3073160374 8175907.1728000343,1656066.5251376412 8175906.8374837516,1656075.1567840853 8175911.1063223872,1656074.8672303648 8175911.6646036962,1656083.7954201661 8175916.2647214392,1656084.6063568594 8175916.5919382684,1656088.3635668349 8175908.4447419401,1656080.541989828 8175904.3919057362,1656080.1798277088 8175905.0619586771,1656062.102942548 8175895.8634854928,1656061.1607999867 8175897.5389102586,1656045.5184402405 8175889.5445185788,1656042.6955305708 8175895.0155752245));94081CI0008_01;17, Rue de Choisy;94081 Vitry-sur-Seine;building;2150125.17007514;2150150.28302132;-90.4016580602464;-47.9837157451713
