SHAPEID;FID;CODE;PK_MIN;PK_MAX;D_MIN;D_MAX
22;94002AF0156_01_SEN_ind01.pdf;94002AF0156_01;2124597.00998171;2124609.33709435;-27.0252702454732;-17.2504619506837
23;94002AF0060_01_SEN_ind01.pdf;94002AF0060_01;2124549.31418452;2124559.25130188;-0.0809069367977902;9.16358091238786
24;94002AE0175_01_SEN_ind01.pdf;94002AE0175_01;2124807.09651324;2124830.12980025;-39.4129357953708;-10.6704089184358
25;94002AF0034_01_SEN_ind01.pdf;94002AF0034_01;2124707.39588839;2124725.87884067;-19.5663217221987;-8.50711154054278
26;94002AE0083_01_SEN_ind01.pdf;94002AE0083_01;2124861.18600908;2124872.21187688;20.0106532999217;32.71259531317
27;94002AE0101_01_SEN_ind01.pdf;94002AE0101_01;2124854.43812734;2124866.38192932;-14.9996296304308;-3.8517848162673
28;94002AF0035_01_SEN_ind01.pdf;94002AF0035_01;2124712.56107084;2124724.90720211;-27.9216637532668;-17.7124632532995
29;94002AJ0086_01_SEN_ind01.pdf;94002AJ0086_01;2125021.45125341;2125029.64872572;-9.08941422947188;2.49546778012387
30;94002AJ0085_03_SEN_ind01.pdf;94002AJ0085_03;2125042.33158178;2125058.23739114;-29.9883124898025;-10.5705312586157
31;94002AF0137_01_SEN_ind01.pdf;94002AF0137_01;2124555.37487762;2124563.12383138;16.795605797401;26.1872198352811
32;94002AF0055_01_SEN_ind01.pdf;94002AF0055_01;2124588.03042611;2124598.79529693;13.0270389069179;25.4054027277201
33;94002AF0054_01_SEN_ind01.pdf;94002AF0054_01;2124598.06203729;2124608.93563289;11.5847975014334;21.2338608798615
34;94002AJ0016_01_SEN_ind01.pdf;94002AJ0016_01;2125129.59710357;2125168.632049;14.2847919755369;44.3954998535851
35;94002AE0091_01_SEN_ind01.pdf;94002AE0091_01;2124856.26171407;2124865.3198186;-47.8004080975863;-26.3674901009114
36;94002AE0100_01_SEN_ind01.pdf;94002AE0100_01;2124843.85029454;2124855.50391714;-13.0420400380474;-1.77277834584494
37;94002AJ0085_02_SEN_ind01.pdf;94002AJ0085_02;2125030.25140507;2125049.43487009;-44.7614113657286;-15.4629203053195
38;94002AF0155_01_SEN_ind01.pdf;94002AF0155_01;2124585.29029553;2124597.65089345;-27.964870008745;-17.4565096590787
39;94002AF0128_01_SEN_ind01.pdf;94002AF0128_01;2124565.99322793;2124575.98896118;17.1256661223339;25.7274294488583
40;94002AJ0131_01_SEN_ind01.pdf;94002AJ0131_01;2125086.77264826;2125125.56000188;38.5041365507862;92.6089367375693
41;94002AE0085_01_SEN_ind01.pdf;94002AE0085_01;2124846.33514155;2124856.02263093;12.2701185008359;29.3543005356253
42;94002AF0033_01_SEN_ind01.pdf;94002AF0033_01;2124721.66454898;2124732.34924115;-1.44582851754901;7.0071457975733
43;94002AJ0061_01_SEN_ind01.pdf;94002AJ0061_01;2125161.96471759;2125177.90473644;-55.2930925632794;-39.5504428287126
44;94002AE0087_01_SEN_ind01.pdf;94002AE0087_01;2124829.68587874;2124840.64840819;14.4433895622876;23.6550778809117
45;94002AF0051_01_SEN_ind01.pdf;94002AF0051_01;2124609.28488496;2124622.71306927;-19.2271043751408;-3.43483193241578
46;94002AF0125_01_SEN_ind01.pdf;94002AF0125_01;2124716.48999153;2124727.26936574;-9.69419961159489;0.644510907199221
47;94002AJ0101_01_SEN_ind01.pdf;94002AJ0101_01;2125034.63263778;2125049.47440231;-4.98082435281668;8.26867787162882
48;94002AF0051_02_SEN_ind01.pdf;94002AF0051_02;2124608.21455648;2124614.49449305;-30.5677491383508;-20.8014972424887
49;94046BI0036_01_SEN_ind01.pdf;94046BI0036_01;2124434.6582391;2124442.55651819;14.43750265886;21.8842281557803
50;94046BI0001_04_SEN_ind02.pdf;94046BI0001_04;2124329.92508065;2124362.71150456;31.455785492065;49.5743171091062
51;94046BI0001_05_SEN_ind02.pdf;94046BI0001_05;2124334.4349878;2124367.85045905;-27.4592607981973;-9.4621123166546
52;940760V0180_01_SEN_ind01.pdf;940760V0180_01;2129886.85979769;2129893.61458022;28.4101315688669;33.7813114128622
54;940760V0313_01_SEN_ind01.pdf;940760V0313_01;2129935.69075541;2129970.34392617;22.9857797885909;48.5296470706862
55;940760V0152_01_SEN_ind01.pdf;940760V0152_01;2129936.71667831;2129948.99686685;48.38048345467;61.4770651904133
56;94076BC0161_01_SEN_ind01.pdf;94076BC0161_01;2129576.18738882;2129587.92528735;-8.15135009441261;3.13290436272984
57;940760U0174_01_SEN_ind01.pdf;940760U0174_01;2129757.96743413;2129770.14703223;7.39639708619824;18.106793669775
58;940760U0170_01_SEN_ind01.pdf;940760U0170_01;2129736.51617995;2129760.03802442;5.80046982732511;16.9588630250877
59;94076BC0101_01_SEN_ind01.pdf;94076BC0101_01;2129541.23148234;2129549.64572206;5.13545268539519;16.6343002687972
60;940760U0180_01_SEN_ind01.pdf;940760U0180_01;2129552.03315833;2129624.22044878;20.3829076487171;48.7109723957315
61;94076BC0004_02_SEN_ind01.pdf;94076BC0004_02;2129485.35414884;2129493.79779853;27.4661683358167;41.4644025211546
62;94076BC0007_02_SEN_ind01.pdf;94076BC0007_02;2129456.21717802;2129470.95807188;-21.8648781379887;-15.4464658081306
64;940760U0139_01_SEN_ind01.pdf;940760U0139_01;2129632.2259483;2129641.10864555;14.3858340706617;25.5349823055561
65;940760U0167_01_SEN_ind01.pdf;940760U0167_01;2129787.3469448;2129800.5088353;14.9069891863122;23.6313110089579
66;94076BC0181_01_SEN_ind01.pdf;94076BC0181_01;2129566.24253786;2129577.73655755;-3.95019654088141;8.63836408175535
68;94076BC0022_01_SEN_ind01.pdf;94076BC0022_01;2129514.83133744;2129523.18423412;12.2484065097683;20.6367902935498
70;94076BC0126_01_SEN_ind01.pdf;94076BC0126_01;2129459.01651976;2129470.4176686;-0.616899221297087;10.9432073607823
71;94076BC0177_01_SEN_ind01.pdf;94076BC0177_01;2129586.60640595;2129597.28258045;-10.5668336645879;3.54105057228103
72;94076BC0217_01_SEN_ind01.pdf;94076BC0217_01;2129633.9290275;2129644.03423911;-21.7465253721377;-9.9814038368312
74;940760V0281_01_SEN_ind01.pdf;940760V0281_01;2129839.94711559;2129846.48661759;21.2964743462252;32.321478575801
75;94076BC0125_01_SEN_ind01.pdf;94076BC0125_01;2129457.426338;2129469.40026026;-10.6352628036422;1.02443278742024
76;940760V0313_03_SEN_ind01.pdf;940760V0313_03;2129976.24534752;2129998.46246658;22.5537685419787;37.1916882457224
77;94076BC0031_01_SEN_ind01.pdf;94076BC0031_01;2129615.8344176;2129624.94965452;-8.58924632523966;-1.65686197271867
78;940760U0176_01_SEN_ind01.pdf;940760U0176_01;2129774.89223467;2129787.65044044;13.9757119073546;24.4880851457891
80;94076BC0183_01_SEN_ind01.pdf;94076BC0183_01;2129506.23967803;2129514.62762911;12.6099547122611;21.5008636046677
81;94076BC0205_01_SEN_ind01.pdf;94076BC0205_01;2129461.75913827;2129470.30620603;22.6902346725414;32.1177325440871
82;940760U0138_01_SEN_ind01.pdf;940760U0138_01;2129640.34930645;2129649.17180699;7.11105885892994;24.1930103779133
83;940760U0033_01_SEN_ind01.pdf;940760U0033_01;2129686.04072003;2129699.07012184;-19.6922519145975;-7.5339687996671
85;94076BC0008_01_SEN_ind01.pdf;94076BC0008_01;2129457.58721722;2129471.8975393;-33.7179042310542;-22.2374750948506
86;94076BC0018_01_SEN_ind01.pdf;94076BC0018_01;2129498.98136172;2129507.78305956;10.7091667297961;27.7729689171351
87;940760V0280_01_SEN_ind01.pdf;940760V0280_01;2129845.39228123;2129855.00070938;22.341502890204;32.8935503457044
88;94076BC0170_01_SEN_ind01.pdf;94076BC0170_01;2129492.41454408;2129500.97757514;18.2989628864326;28.6980294483975
89;94076BC0028_01_SEN_ind01.pdf;94076BC0028_01;2129592.81149471;2129603.7980906;-38.1828393970269;-25.9244862942158
90;94076BC0128_01_SEN_ind01.pdf;94076BC0128_01;2129624.8721251;2129635.35185119;-12.9835016013361;-4.82757889326241
91;940760U0032_01_SEN_ind01.pdf;940760U0032_01;2129686.7399276;2129719.92910288;-11.6610491928914;22.4160901676694
92;940760U0172_01_SEN_ind01.pdf;940760U0172_01;2129768.62132318;2129778.46494622;8.73155919457544;17.5281243890238
94;94076BC0167_01_SEN_ind01.pdf;94076BC0167_01;2129531.29225085;2129539.57625219;9.52537084905941;21.1882386443057
95;94076BC0165_01_SEN_ind01.pdf;94076BC0165_01;2129521.63572832;2129532.09666886;5.73517529761818;19.2777262068463
96;940760U0037_01_SEN_ind01.pdf;940760U0037_01;2129641.68966463;2129650.243262;27.0191164638048;34.8418460812657
97;94076BC0006_01_SEN_ind01.pdf;94076BC0006_01;2129453.8044459;2129461.50582555;-12.7327957449835;-8.34822526653897
98;940760U0156_01_SEN_ind01.pdf;940760U0156_01;2129806.95897319;2129817.67341019;18.4414283516939;30.4378877861579
99;94076BC0098_01_SEN_ind01.pdf;94076BC0098_01;2129460.48692812;2129470.70386834;14.3504400809261;23.8952908730545
100;94076BC0176_01_SEN_ind01.pdf;94076BC0176_01;2129607.36740838;2129616.34433447;-10.1682086390741;4.34742843761914
101;940760V0313_02_SEN_ind01.pdf;940760V0313_02;2129970.22286337;2129992.51163697;20.9427966017402;37.1771396777005
103;94028BF0158_02_SEN_ind01.pdf;94028BF0158_02;2123938.93567651;2123952.21447878;18.4287709487927;32.183731705999
104;94028BD0047_01_SEN_ind01.pdf;94028BD0047_01;2123066.82111957;2123077.82151739;-35.2435164345551;-24.6956589942957
105;94028BE0188_01_SEN_ind01.pdf;94028BE0188_01;2123415.03715199;2123437.11911047;-35.2588090347896;-13.1488638482731
106;94028BF0273_03_SEN_ind01.pdf;94028BF0273_03;2123726.12619141;2123743.51349918;-42.2581676572681;-4.24546694914842
107;94028BF0087_01_SEN_ind01.pdf;94028BF0087_01;2123579.02024103;2123635.59363203;-66.0114473894639;-39.7513538026595
108;94028BD0065_02_SEN_ind01.pdf;94028BD0065_02;2123098.84436033;2123104.87783109;-30.0415925746048;-23.6324737599823
109;94028BF0159_02_SEN_ind01.pdf;94028BF0159_02;2123922.84556175;2123952.14649442;-51.0460637086261;-24.770725622169
110;94028BD0065_01_SEN_ind01.pdf;94028BD0065_01;2123092.05016246;2123101.4332692;-25.9201544671745;-16.0703381700375
111;94028BF0253_01_SEN_ind01.pdf;94028BF0253_01;2123507.21311654;2123536.7831102;25.8764502642543;79.4453261712117
112;94028BF0258_02_SEN_ind01.pdf;94028BF0258_02;2123470.48336617;2123486.51671357;41.2949409690397;56.3424921669438
113;94028BD0295_01_SEN_ind01.pdf;94028BD0295_01;2123103.01816423;2123115.36497681;-39.2254564796145;-26.2489022840135
114;94028BE0534_01_SEN_ind01.pdf;94028BE0534_01;2123391.14838407;2123423.07258145;-90.3302128242848;-39.5324560080292
115;94028BF0258_01_SEN_ind01.pdf;94028BF0258_01;2123444.98114503;2123469.49156382;44.093649885101;66.6109578682926
116;94028BD0060_01_SEN_ind01.pdf;94028BD0060_01;2123012.8541058;2123022.43278882;21.0800748185117;29.5286954516889
117;94028BF0272_01_SEN_ind01.pdf;94028BF0272_01;2123716.87125776;2123729.00910298;-12.7146288610076;0.186900994891535
118;94028BF0283_01_SEN_ind01.pdf;94028BF0283_01;2123602.04789376;2123641.52624451;-42.0688722832772;-11.4986907247229
119;94028BD0049_01_SEN_ind01.pdf;94028BD0049_01;2123047.56620847;2123060.58890269;-18.4580525499563;-5.57728673831583
120;94028BD0294_01_SEN_ind01.pdf;94028BD0294_01;2123112.90770592;2123127.58929247;-43.8854892208835;-26.3569712909274
121;94028BD0210_01_SEN_ind01.pdf;94028BD0210_01;2123030.10358013;2123052.01336814;23.6771321574331;37.842920515519
122;94028BF0087_02_SEN_ind01.pdf;94028BF0087_02;2123556.52932489;2123582.29556635;-81.6415752748644;-45.7950673381748
123;94028BD0046_01_SEN_ind01.pdf;94028BD0046_01;2123088.36016757;2123097.23621374;-54.6221302129907;-44.6784562549933
124;94028BD0049_02_SEN_ind01.pdf;94028BD0049_02;2123048.10348041;2123054.13338163;-30.3133402915164;-23.7128413415496
125;94028BD0058_01_SEN_ind01.pdf;94028BD0058_01;2123010.38244843;2123020.4849845;-5.76000536801906;3.40216686938165
126;94028BD0055_01_SEN_ind01.pdf;94028BD0055_01;2123016.06758725;2123025.40954719;-40.1608499535389;-30.1822275864378
127;94028BD0056_01_SEN_ind01.pdf;94028BD0056_01;2123013.67024991;2123023.50784881;-31.6887882037701;-22.1432717452776
128;94028BD0064_01_SEN_ind01.pdf;94028BD0064_01;2123082.95854593;2123097.36754902;-21.5543619955353;-7.89646351515283
129;94028BD0272_01_SEN_ind01.pdf;94028BD0272_01;2123054.29647282;2123064.67547255;12.8914432497808;25.158471360828
130;94028BD0057_01_SEN_ind01.pdf;94028BD0057_01;2123018.9168661;2123028.40953057;-3.84849792524319;5.5162706961395
131;94028BF0157_01_SEN_ind01.pdf;94028BF0157_01;2123971.06903912;2124007.55600219;16.0611204180697;52.7928961399416
132;94028BD0060_02_SEN_ind01.pdf;94028BD0060_02;2123026.14517793;2123029.78015034;21.084057535566;26.739800109956
133;94028BE0523_03_SEN_ind01.pdf;94028BE0523_03;2123085.50091056;2123101.7527464;124.485125063658;133.720240897004
134;94028BE0523_01_SEN_ind01.pdf;94028BE0523_01;2123086.31309783;2123176.49857446;61.8125458969802;132.067832870523
135;94028BD0048_01_SEN_ind01.pdf;94028BD0048_01;2123060.73547832;2123071.20049661;-32.7757774552252;-18.0325293079917
136;94028BD0183_01_SEN_ind01.pdf;94028BD0183_01;2123004.47813431;2123014.49878071;19.04200623395;27.5571592263646
137;94028BE0493_01_SEN_ind01.pdf;94028BE0493_01;2123341.27801352;2123358.27835976;-5.40135897127656;10.5726324246393
138;94028BD0098_01_SEN_ind01.pdf;94028BD0098_01;2123066.69312395;2123080.87982136;-1.30062557912304;15.2111403784133
139;94028BE0516_01_SEN_ind01.pdf;94028BE0516_01;2123135.53114725;2123174.59799506;8.56061774793183;47.7201538036871
140;94028BD0100_01_SEN_ind01.pdf;94028BD0100_01;2123073.56944782;2123084.39264741;-7.17007346616308;3.75815464098659
141;94028BD0050_01_SEN_ind01.pdf;94028BD0050_01;2123038.94387982;2123052.1067843;-11.0821094677433;1.75065200477997
142;94028BD0100_02_SEN_ind01.pdf;94028BD0100_02;2123088.4673467;2123096.9555973;-3.75550842794728;4.8066872377237
143;94028BD0058_02_SEN_ind01.pdf;94028BD0058_02;2123018.60737132;2123023.578212;-19.2658073906056;-15.9913499178677
144;94028BF0159_01_SEN_ind01.pdf;94028BF0159_01;2123918.49669007;2123968.71594781;-43.1860211148527;3.58997568522173
145;94028BF0210_01_SEN_ind01.pdf;94028BF0210_01;2123625.68831004;2123659.78858538;31.9749120618172;82.7917548241473
146;94028BF0272_02_SEN_ind01.pdf;94028BF0272_02;2123715.77505863;2123726.97150724;-41.1833791379024;-27.4798763525645
147;94028BF0159_03_SEN_ind01.pdf;94028BF0159_03;2123935.81550658;2123946.07975746;-60.3290931498273;-45.8501363196018
148;94028BF0157_02_SEN_ind01.pdf;94028BF0157_02;2123923.36422394;2123968.46083303;58.4167534364489;103.482475362791
149;94028BC0259_01_SEN_ind03.pdf;94028BC0259_01;2122731.47488328;2122757.54912726;-26.8505383010447;-8.37889466313106
150;94028BC0276_01_SEN_ind01.pdf;94028BC0276_01;2122434.14912404;2122631.56974657;7.65077373913019;97.2514816998694
151;94028BC0117_01_SEN_ind01.pdf;94028BC0117_01;2122624.8072974;2122684.78973108;7.65077373913019;60.8182691537019
152;94028BC0277_02_SEN_ind01.pdf;94028BC0277_02;2122508.13460863;2122573.65951784;7.31372466341358;47.3922623639558
153;94028BC0255_03_SEN_ind01.pdf;94028BC0255_03;2122918.79550807;2122940.59482116;-34.6793344480879;-13.1029811048095
154;94028BC0255_05_SEN_ind01.pdf;94028BC0255_05;2122915.01397011;2122932.09415097;-52.3868111016342;-36.271340285062
155;94028BC0300_02_SEN_ind01.pdf;94028BC0300_02;2122942.65961367;2122952.61118057;18.1004375838703;19.8226315897355
156;94028BC0300_01_SEN_ind01.pdf;94028BC0300_01;2122926.52438993;2122965.24126584;19.7360901766465;50.2877580261657
157;94028BC0255_02_SEN_ind01.pdf;94028BC0255_02;2122937.16803005;2122983.76726009;-65.1138460098519;-14.0131803933403
158;94028BC0255_04_SEN_ind01.pdf;94028BC0255_04;2122984.22001375;2122995.12899399;-45.1717205041174;-30.3258845027418
178;94028BC0310_03_SEN_ind01.pdf;94028BC0310_03;2122284.97885522;2122350.1706131;-101.255199999026;-60.3225774108962
179;94046BH0042_02_SEN_ind01.pdf;94046BH0042_02;2124189.67709792;2124225.6312856;21.8210792641848;56.9415551656888
180;94046BH0037_01_SEN_ind01.pdf;94046BH0037_01;2124076.54479748;2124154.96137022;-79.4905078203556;-16.1623888292878
181;94046BH0036_03_SEN_ind01.pdf;94046BH0036_03;2124194.78997269;2124239.3372192;-131.480334629611;-71.4290755832723
182;94046BI0025_01_SEN_ind01.pdf;94046BI0025_01;2124426.06983481;2124480.67376608;52.6893266314864;125.72503727747
183;94046BH0052_01_SEN_ind01.pdf;94046BH0052_01;2123979.62917185;2124017.18983688;-85.3253421132688;-56.7399497344557
184;94046BH0037_03_SEN_ind01.pdf;94046BH0037_03;2124116.65362334;2124137.07701947;-77.0815066321156;-48.8818943970138
185;94046BH0038_01_SEN_ind01.pdf;94046BH0038_01;2124194.42733163;2124233.27883236;-42.8569009714974;3.24341377971586
186;94046BH0031_02_SEN_ind01.pdf;94046BH0031_02;2124022.00198492;2124067.20586795;-58.73708061669;-17.7373354048753
187;94046BH0033_01_SEN_ind01.pdf;94046BH0033_01;2124059.92407161;2124109.91178542;-112.04008108636;-69.3085171367743
188;94046BH0053_02_SEN_ind01.pdf;94046BH0053_02;2123988.66918397;2124030.03673519;-75.5329146180638;-45.2936798261524
189;94046BH0030_02_SEN_ind01.pdf;94046BH0030_02;2124038.84895006;2124080.2072631;-31.543889812553;8.91654946040945
190;94046BH0029_01_SEN_ind01.pdf;94046BH0029_01;2124052.8094257;2124147.76456671;-5.2408207699589;83.9022410017044
191;94081DJ0124_01_SEN_ind01.pdf;94081DJ0124_01;2126383.89006641;2126396.50641765;54.3865749079186;79.0880425359367
192;94081AU0021_01_SEN_ind01.pdf;94081AU0021_01;2128695.04019834;2128708.18189435;18.9124494837268;30.0674772491134
193;94081AQ0113_01_SEN_ind01.pdf;94081AQ0113_01;2129417.02768415;2129426.51563748;22.4244220430049;36.4473482483656
194;94081AU0030_01_SEN_ind01.pdf;94081AU0030_01;2128668.17115747;2128676.50309181;16.9537904995276;30.5951900999567
195;94081AQ0097_02_SEN_ind01.pdf;94081AQ0097_02;2129290.99897863;2129301.90790335;4.07312142723277;35.8347423234316
196;94081AR0399_01_SEN_ind01.pdf;94081AR0399_01;2128993.35646431;2129006.42760229;2.82574530551785;12.554429804358
197;94081CN0096_19_SEN_ind01.pdf;94081CN0096_19;2127320.3518607;2127363.83510066;1.42089779443875;79.4200617953748
198;94081BP0211_01_SEN_ind01.pdf;94081BP0211_01;2128046.7683794;2128061.97142485;-31.7935267772054;-24.1022191491188
199;94081AU0022_01_SEN_ind01.pdf;94081AU0022_01;2128686.42756285;2128699.23876749;27.0806154073365;38.0462261343387
200;94081AQ0251_01_SEN_ind01.pdf;94081AQ0251_01;2129334.32794915;2129348.79595958;8.82167148648192;23.3850345510432
201;94081CM0098_01_SEN_ind01.pdf;94081CM0098_01;2126941.46853248;2126953.23135666;131.396031676139;141.045232308854
202;940810X0237_01_SEN_ind01.pdf;940810X0237_01;2128288.24668068;2128346.95203134;83.1791418194787;129.083048633974
203;94081AQ0111_01_SEN_ind01.pdf;94081AQ0111_01;2129436.97970562;2129442.53135089;16.9081599464971;30.8275075604333
204;94081AU0031_01_SEN_ind01.pdf;94081AU0031_01;2128672.11674496;2128684.12856882;8.32340374777987;20.9747610113318
205;94081AU0029_01_SEN_ind01.pdf;94081AU0029_01;2128656.19084029;2128669.53131558;26.3560005273643;37.3858748842471
206;94081AR0401_01_SEN_ind01.pdf;94081AR0401_01;2128979.43066943;2128993.77631422;2.72019375374723;17.2950903787563
207;94081AQ0099_01_SEN_ind01.pdf;94081AQ0099_01;2129309.41255889;2129324.19702494;-1.25465067544366;18.4314823743486
208;94081CH0251_01_SEN_ind01.pdf;94081CH0251_01;2127117.18342236;2127128.28947314;-18.1090584305999;-6.33448291272139
209;94081CM0022_01_SEN_ind01.pdf;94081CM0022_01;2126930.76830313;2126940.755213;86.1038974849581;103.667976233909
210;94081AQ0129_01_SEN_ind01.pdf;94081AQ0129_01;2129410.45145348;2129433.40727845;-34.2774132541631;-23.5060665497329
211;94081CH0245_01_SEN_ind01.pdf;94081CH0245_01;2127154.88005469;2127166.87882958;-54.1719623370721;-35.7566851629503
212;94081AU0104_01_SEN_ind01.pdf;94081AU0104_01;2128665.82052224;2128696.26856554;-33.4791565695724;-11.7884217883893
213;94081CI0022_01_SEN_ind01.pdf;94081CI0022_01;2126914.73917941;2126926.18556079;63.6854181351543;76.8781269317533
214;94081AR0502_01_SEN_ind01.pdf;94081AR0502_01;2129033.56792855;2129049.55861122;-24.9821061577861;-16.7663326834102
215;94081CI0009_01_SEN_ind01.pdf;94081CI0009_01;2126921.35879519;2126943.09983853;-28.0683732665572;3.19556985998632
216;94081CH0244_01_SEN_ind01.pdf;94081CH0244_01;2127156.87434924;2127180.20175324;-68.3726482827063;-42.7277525954762
217;94081DI0027_08_SEN_ind01.pdf;94081DI0027_08;2125387.68145389;2125536.64475689;-29.3315308273643;84.2849985700699
218;94081AQ0251_02_SEN_ind01.pdf;94081AQ0251_02;2129320.63952982;2129331.94974381;25.0966050377414;38.3479868591445
219;94081DI0027_17_SEN_ind02.pdf;94081DI0027_17;2125480.37770585;2125513.79213592;123.621947951463;145.044743623641
220;94081DJ0131_06_SEN_ind01.pdf;94081DJ0131_06;2125922.15030298;2125975.528303;-27.2353708705052;20.2320839640028
221;94081CH0250_01_SEN_ind01.pdf;94081CH0250_01;2127123.35908385;2127134.59101908;-22.8701751356099;-11.1484192189341
222;94081CI0020_01_SEN_ind01.pdf;94081CI0020_01;2126926.34051018;2126941.35558284;46.9918130000423;68.1854292906491
223;94081CI0014_01_SEN_ind01.pdf;94081CI0014_01;2126928.75963915;2126947.77992779;1.64455406399077;17.973505402471
224;94081AQ0121_02_SEN_ind01.pdf;94081AQ0121_02;2129371.66631194;2129388.49957511;-17.8933624625825;18.2576488430577
225;94081DI0027_02_SEN_ind02.pdf;94081DI0027_02;2125498.51045196;2125564.96356117;47.5769691241612;111.940130267137
226;94081AR0532_01_SEN_ind01.pdf;94081AR0532_01;2129177.26950232;2129192.8310065;8.24624721664273;18.8253589085257
227;94081CH0248_01_SEN_ind01.pdf;94081CH0248_01;2127140.14689753;2127151.77745044;-36.4779388751336;-23.8630352035063
228;94081AR0129_01_SEN_ind01.pdf;94081AR0129_01;2128999.77845945;2129012.32915151;-28.1604969106506;-10.4355584102824
229;94081AR0529_01_SEN_ind01.pdf;94081AR0529_01;2129122.22180651;2129131.96291467;-24.1762154951889;0.371263566570083
230;94081CU0314_03_SEN_ind01.pdf;94081CU0314_03;2128206.81064458;2128250.11906117;37.8114724776445;59.7455290690272
231;94081CN0003_03_SEN_ind01.pdf;94081CN0003_03;2127491.484366;2127506.3376165;-12.8849118454438;3.85888826665883
232;94081DI0027_18_SEN_ind02.pdf;94081DI0027_18;2125520.86386454;2125565.33321261;146.507470750523;173.633392244063
233;94081CH0246_01_SEN_ind01.pdf;94081CH0246_01;2127146.4109766;2127157.96809768;-41.4996628345246;-29.3106311053643
234;94081CM0115_03_SEN_ind01.pdf;94081CM0115_03;2127174.19644465;2127218.91789156;-15.211619057479;25.708071258828
235;94081AQ0092_02_SEN_ind01.pdf;94081AQ0092_02;2129218.13628863;2129231.16183154;-16.9135069717894;-7.70577217391035
236;94081CO0177_01_SEN_ind01.pdf;94081CO0177_01;2127760.95871995;2127826.40713812;50.4350562409339;75.8440694418968
237;94081CU0314_01_SEN_ind01.pdf;94081CU0314_01;2128073.42701623;2128120.57722815;28.254540305784;78.3823454424955
238;94081AS0115_03_SEN_ind01.pdf;94081AS0115_03;2128749.63256959;2128774.64382002;-8.55996550961367;36.0783360896824
239;94081AQ0103_01_SEN_ind01.pdf;94081AQ0103_01;2129344.59096985;2129355.65858981;11.1912255013979;28.6728293434193
240;94081CI0012_01_SEN_ind01.pdf;94081CI0012_01;2126894.72044677;2126917.57831028;5.51474755765461;17.2421869652999
241;94081CI0008_01_SEN_ind01.pdf;94081CI0008_01;2126884.74531938;2126931.29487314;-33.0707489020482;-9.04324529330456
242;94081CH0249_01_SEN_ind01.pdf;94081CH0249_01;2127129.61842838;2127141.78579645;-28.3148748192263;-15.8518652016323
243;94081AU0188_01_SEN_ind01.pdf;94081AU0188_01;2128396.16266413;2128424.63738667;34.6316672688333;61.9935897555779
