BLDG_CODE;PK_MIN;PK_MAX;D_MIN;D_MAX
94002AF0035_01;2124713.29203587;2124725.63816748;-27.921659509009;-17.7124593233601
94002AJ0086_01;2125022.18221949;2125030.37969147;-9.08941498577235;2.49547316895558
94002AJ0085_03;2125049.39569137;2125058.96834919;-29.9883083503823;-20.1948278617196
94002AF0137_01;2124556.10584023;2124563.85479399;16.7956022082323;26.1872222159725
94002AF0055_01;2124588.76138424;2124599.52626001;13.0270398276777;25.4054017577834
94002AF0054_01;2124598.79299628;2124609.66659686;11.5847957337409;21.2338559250051
94002AJ0016_01;2125130.32806617;2125169.36301161;14.2847882485824;44.395500431877
94002AE0091_01;2124856.99267668;2124866.05078131;-47.8004056913723;-26.3674871597277
94002AE0100_01;2124844.58125715;2124856.23487975;-13.0420404341218;-1.77277476654441
94002AJ0085_02;2125030.98236999;2125050.16583313;-44.761415780649;-15.4629165719744
94002AF0155_01;2124586.02125686;2124598.38185413;-27.9648712477865;-17.4565095945211
94002AF0128_01;2124566.72419345;2124576.71992817;17.1256618519909;25.7274288628419
94002AJ0131_01;2125087.50361086;2125126.29096449;38.5041371704043;92.6089341485271
94002AE0085_01;2124847.06610416;2124856.75359353;12.2701239058385;29.3542993340033
94002AF0033_01;2124722.39550903;2124733.08020585;-1.44583160556822;7.00714141298817
94002AJ0061_01;2125162.69568019;2125178.63569609;-55.2930932436476;-39.5504413772744
94002AE0087_01;2124830.41684134;2124841.37937079;14.4433920098422;23.655079308264
94002AF0051_01;2124610.01585001;2124623.4440285;-19.2271013720292;-3.43482957413322
94002AF0125_01;2124717.2209528;2124728.00033093;-9.69420386240874;0.644515878346968
94002AJ0101_01;2125035.36360609;2125050.20537;-4.98082314495769;8.2686782271657
94002AF0051_02;2124608.94551483;2124615.22545903;-30.567747241853;-20.8014939069142
94046BI0036_01;2124435.38920333;2124443.28747853;14.43749796215;21.8842264479061
94046BI0001_04;2124330.65604127;2124363.44246905;31.4557866511087;49.5743138171396
94046BI0001_05;2124335.16594891;2124368.58141799;-27.4592656713763;-9.46211582066548
940760V0056_01;2129938.0;2129938.0;107.295072702406;121.189852177173
940760V0313_01;2129936.43095519;2129938.0;26.5018062069425;49.9076134382158
940760V0152_01;2129937.45946279;2129938.0;48.5312674363031;62.4143452261549
94076BC0161_01;2129576.91835312;2129588.65625014;-8.15135095733211;3.1329031821057
940760U0174_01;2129758.69772595;2129770.87767182;7.39726024817127;18.1079264937344
940760U0170_01;2129737.24704497;2129760.76869837;5.80074000641196;16.9593473216656
94076BC0101_01;2129541.96244945;2129550.37668578;5.13545072232621;16.6343014611288
940760U0180_01;2129552.76412372;2129624.95141145;20.3829031616086;48.7109743451782
94076BC0004_02;2129486.08510986;2129494.52876047;27.4661644174837;41.4644005580856
94076BC0007_02;2129456.94813812;2129471.68903517;-21.8648752276231;-15.4464636068014
940760V0055_02;2129938.0;2129938.0;113.457481599523;123.084328055835
940760U0139_01;2129632.95690914;2129641.83960601;14.3858290687466;25.5349777987894
940760U0167_01;2129788.07720055;2129801.23933828;14.9090330775045;23.6335584258534
94076BC0181_01;2129566.97349789;2129578.46751881;-3.95019244989167;8.63836477304835
940760V0057_03;2129938.0;2129938.0;108.712406619943;144.426776517709
94076BC0022_01;2129515.56229666;2129523.91519367;12.2484087690418;20.6367891727848
940760V0199_01;2129938.0;2129938.0;77.1340398615866;90.5119327574431
