shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
32;94081CJ0255_02_SEN_ind01.pdf;94081CJ0255;2;1;35;22;13;Non connus;NULL;non dtermin;D > 50m;entre 60 et 90;?;2;0;?;18 X 18;9;Prsence de sablire;2151021.73602811;2151067.56687182;-10.395318037741;34.2032321668201
33;94081CK0056_01_SEN_ind01.pdf;94081CK0056;1;1;35;20;15;2;33;13;40m < D <= 50m;entre 60 et 90;1;1;0;0;10 X 8;6;NULL;2150773.83097077;2150798.9161971;6.03396207236549;38.5744819380373
34;94081CI0231_01_SEN_ind01.pdf;94081CI0231;1;2;35;17;18;0;35;18;10m < D <= 20m;<30;0;0;0;0;17 X 13;6;/;2151271.39001761;2151292.04400267;167.282910051297;207.197545546141
35;94081CI0178_02_SEN_ind01.pdf;94081CI0178;2;2;35;25;10;0;35;10;20m < D <= 30m;entre 60 et 90;0;0;0;0;21 X 5;3;/;2151308.36029148;2151314.6527497;142.511081366833;164.002437582771
36;94081CL0063_02_SEN_ind01.pdf;94081CL0063;2;2;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;0;0;10 X 4;2;/;2150462.92390092;2150474.78119218;8.54882513938965;18.5863874072955
37;94081CI0191_05_SEN_ind01.pdf;94081CI0191;5;1;35;17;18;0;35;18;0m < D <= 10m;entre 60 et 90;0;1;0;0;35 X 22;7;/;2150904.35251652;2151249.69820277;296.044660554987;335.045724508675
38;94081CJ0258_02_SEN_ind01.pdf;94081CJ0258;2;1;35;22;13;3;32;10;D > 50m;entre 30 et 60;1;1;0;?;57 X 18;5;Prsence de sablire;2150920.298824;2150928.4497425;41.5833266964265;49.1368687697506
39;94081CI0025_01_SEN_ind01.pdf;94081CI0025;1;1;35;15;20;2;33;18;10m < D <= 20m;<30;1;1;1;0;8 X 8;5;Prsence de sablire;2150165.72034336;2150177.3019828;28.3363157506581;38.2618320252657
40;94081CL0069_01_SEN_ind01.pdf;94081CL0069;1;1;35;18;17;2;33;15;30m < D <= 40m;entre 60 et 90;1;0;1;0;10 X 10;6;/L;2150388.67452452;2150403.28706958;25.9316847558878;37.8620876574215
41;94081CJ0255_01_SEN_ind01.pdf;94081CJ0255;1;1;35;22;13;Non connus;NULL;non dtermin;D > 50m;entre 60 et 90;?;2;0;1;30 X 17;10;/;2151057.07743447;2151087.99565336;-22.7364615631037;12.4767172033335
42;94081CM0025_01_SEN_ind01.pdf;94081CM0025;1;2;35;16;19;0;35;19;D > 50m;<30;0;1;1;0;16 X 6;4;Prsence de sablire;2150220.82139683;2150228.24011845;-31.5390989322011;-24.2588528308889
43;94081CL0060_01_SEN_ind01.pdf;94081CL0060;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;0;10 X 8;3;/;2150486.58290995;2150498.71633916;-16.7009096337716;-3.90268084620145
44;94081CL0110_02_SEN_ind01.pdf;94081CL0110;2;1;35;17;18;0;35;18;0m < D <= 10m;<30;0;0;0;0;17 X 8;3;/;2150267.28276195;2150271.73899726;25.7717801852753;33.8797815802838
