shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
115;94081CL0148_01_SEN_ind01.pdf;94081CL0148;1;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;1;1;0;23 X 10;6;/;2150424.64505638;2150445.98370942;-12.1429021897929;10.2149304067858
116;94081CI0275_01_SEN_ind01.pdf;94081CI0275;1;1;35;16;19;2;33;17;0m < D <= 10m;<30;1;1;1;0;8 X 8;5;Prsence de sablire;2150172.33877803;2150182.80417015;4.77186816553127;14.5510761645616
117;94081CL0168_01_SEN_ind01.pdf;94081CL0168;1;1;34;18;16;0;34;16;40m < D <= 50m;entre 60 et 90;0;1;1;0;10 X 9;5;NGF rue = 35;2150399.89249816;2150424.59702749;17.4139475357586;31.2038375825939
118;94081CJ0053_01_SEN_ind01.pdf;94081CJ0053;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;0;9 X 8;6;Prsence de sablire;2150894.28717833;2150907.07684821;-46.0604421640561;-33.2984172039536
119;94081CJ0070_01_SEN_ind01.pdf;94081CJ0070;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;0;8 X 5;6;Prsence de sablire;2150910.65054026;2150922.08515976;-25.5097547201763;-12.315906339883
120;94081CL0062_01_SEN_ind01.pdf;94081CL0062;1;1;35;18;17;1;34;16;D > 50m;entre 60 et 90;1;0;1;0;10 X 9;5;NULL;2150468.83369771;2150479.87763239;0.740696253580269;12.4441447297645
121;94081CK0186_01_SEN_ind01.pdf;94081CK0186;1;1;35;19;16;0;35;16;D > 50m;entre 30 et 60;0;1;1;0;10 X 9;6;/;2150626.88849491;2150638.37428493;-40.4673418807604;-26.834462424109
122;94081CJ0072_01_SEN_ind01.pdf;94081CJ0072;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;0;8 X 8;7;Prsence de sablire;2150898.93637664;2150909.8292884;-15.4163703787837;-4.49600075680677
123;94081CI0027_01_SEN_ind01.pdf;94081CI0027;1;1;35;15;20;2;33;18;30m < D <= 40m;<30;1;1;1;0;8 X 8;5;Prsence de sablire;2150146.6795976;2150161.38594047;44.2343549981008;54.6249189690737
124;94081CK0069_02_SEN_ind01.pdf;94081CK0069;2;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;9 X 9;6;NULL;2150689.71488756;2150701.62410668;-14.4680225680861;-3.25709813313447
125;94081CK0089_01_SEN_ind01.pdf;94081CK0089;1;1;35;19;16;2;33;14;D > 50m;entre 30 et 60;1;1;0;0;10 X 10;6;NULL;2150650.41420303;2150664.19413716;-11.1930355496652;2.96084603927416
126;94081CM0075_01_SEN_ind01.pdf;94081CM0075;1;1;35;17;18;3;32;15;D > 50m;entre 30 et 60;1;2;1;?;16 X 11;9;Prsence de sablire;2150370.0011499;2150385.33441687;-53.3630014006873;-36.7919310192499
127;94081CK0071_01_SEN_ind01.pdf;94081CK0071;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;8 X 5;5;/;2150676.52990452;2150687.68615932;-34.8886004930799;-23.8484668866171
128;94081CK0107_01_SEN_ind01.pdf;94081CK0107;1;1;35;19;16;2;33;14;D > 50m;entre 30 et 60;1;0;1;0;9 X 7;6;/;2150624.26848874;2150634.44047912;-4.37555502920384;6.88637914656517
129;94081CM0019_01_SEN_ind01.pdf;94081CM0019;1;1;35;16;19;3;32;16;20m < D <= 30m;entre 60 et 90;1;1;1;0;7 X 7;6;Prsence de sablire;2150245.91362785;2150255.91800828;-40.1880154032549;-19.0890281322846
130;94081CJ0067_02_SEN_ind01.pdf;94081CJ0067;2;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;0;NULL;8 X 7;6;Prsence de sablire;2150950.58865059;2150960.57816966;-34.5483562421885;-23.8970864412433
131;94081CL0171_01_SEN_ind01.pdf;94081CL0171;1;1;35;18;17;2;33;15;40m < D <= 50m;entre 60 et 90;1;1;1;0;11 X 9;8;/;2150518.91067581;2150535.19956426;30.5730836127635;46.0733153576355
132;94081CL0175_01_SEN_ind01.pdf;94081CL0175;1;1;35;18;17;2;33;15;20m < D <= 30m;entre 60 et 90;1;0;1;0;11 X 8;6;NULL;2150439.05228154;2150455.44777049;29.8730822235079;42.9242031009476
133;94081CK0113_01_SEN_ind01.pdf;94081CK0113;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;1;0;0;10 X 10;6;NULL;2150605.46894837;2150622.04243971;2.50823637222911;15.4101841718379
134;94081CK0104_01_SEN_ind01.pdf;94081CK0104;1;1;35;19;16;1;34;15;D > 50m;entre 30 et 60;1;0;0;0;9 X 9;4;NULL;2150640.66730574;2150655.2272376;20.0133412469468;32.8611333375908
135;94081CL0160_01_SEN_ind01.pdf;94081CL0160;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;0;11 X 9;4;/;2150493.7856941;2150510.06266289;12.3524934766497;24.942021502586
136;94081CL0044_01_SEN_ind01.pdf;94081CL0044;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;0;0;9 X 8;3;NULL;2150536.47872418;2150547.32955734;-20.8018724952675;-8.17648643227133
137;94081CK0109_02_SEN_ind01.pdf;94081CK0109;2;1;35;19;16;0;35;16;D > 50m;entre 30 et 60;0;1;1;0;11 X 9;8;/;2150604.26717503;2150612.06414256;-18.6148756290636;-6.87331586360237
138;94081CL0038_01_SEN_ind01.pdf;94081CL0038;1;1;35;19;16;0;35;16;D > 50m;entre 60 et 90;0;2;1;0;11 X 8;10;/;2150552.07542566;2150565.37548569;-4.69468410094318;9.43252013099025
139;94081CK0114_01_SEN_ind01.pdf;94081CK0114;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;2;0;1;20 X 13;10;/;2150606.6925834;2150624.17243486;22.7365377715289;42.1741370456382
140;94081CK0070_01_SEN_ind01.pdf;94081CK0070;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;0;1;0;5 X 4;3;Prsence de sablire;2150679.85105431;2150690.37074929;-30.6753804611849;-21.7868944886681
141;94081CL0007_01_SEN_ind01.pdf;94081CL0007;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;0;0;0;8 X 6;4;NULL;2150579.42286527;2150587.02456913;-4.75160309980831;0.719108183650783
142;94081CI0273_01_SEN_ind01.pdf;94081CI0273;1;1;35;16;19;2;33;17;0m < D <= 10m;<30;1;1;0;0;8 X 8;5;Prsence de sablire;2150179.28401745;2150189.46679264;7.09598146504892;17.4388279338197
143;94081DJ0088_01_SEN_ind01.pdf;94081DJ0088;1;1;35;17;18;0;35;18;10m < D <= 20m;<30;0;0;0;0;86 X 16;6;NULL;2151280.36371146;2151292.60020363;5.26829974438331;68.0120629980317
144;94081CM0065_01_SEN_ind01.pdf;94081CM0065;1;1;35;17;18;3;32;15;40m < D <= 50m;entre 30 et 60;1;0;1;0;12 X 7;6;Prsence de sablire;2150270.68711637;2150278.44232396;-30.0624223103507;3.24669270418008
145;94081CL0036_01_SEN_ind01.pdf;94081CL0036;1;1;35;18;17;2;33;15;40m < D <= 50m;entre 60 et 90;1;2;1;0;12 X 11;10;NULL;2150531.83448744;2150547.88063443;11.6094234038685;26.3745821997156
146;94081CL0153_01_SEN_ind01.pdf;94081CL0153;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;0;1;0;13 X 9;4;/;2150537.83766451;2150549.77476631;-33.6368678083672;-19.2649792939715
147;94081CL0140_02_SEN_ind01.pdf;94081CL0140;2;2;35;16;19;0;35;19;Au dessus de l'axe;entre 30 et 60;0;1 partiel);1;0;55 X 11;7 (R+1) - 4 m (RDC);NULL;2150008.19719506;2150848.21619967;21.9350786843317;245.454469548638
148;94081CL0072_01_SEN_ind01.pdf;94081CL0072;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;1;0;0;13 X 10;6;/;2150442.47193512;2150457.45986834;-14.9809217841649;2.42029397797613
149;94081DJ0139_01_SEN_ind01.pdf;94081DJ0139;1;2;35;29;6;NULL;35;6;20m < D <= 30m;<30;1;2;0;Non dtermin;60 X 40;10;/;2151501.18668667;2151568.00386294;40.6459407289086;89.0072443244911
150;94081CK0054_01_SEN_ind01.pdf;94081CK0054;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;11 X 9;7;Prsence de sablire;2150748.60285252;2150763.49309452;6.43780950023058;18.5271961649131
151;94081CI0110_01_SEN_ind01.pdf;94081CI0110;1;1;35;15;20;2;33;18;20m < D <= 30m;entre 60 et 90;1;0;1;0;10 X 10;5;NULL;2150159.00716375;2150171.90893699;-38.2701103829463;-24.7343679211077
152;94081CK0091_01_SEN_ind01.pdf;94081CK0091;1;1;35;20;15;2;33;13;D > 50m;<30;1;0;0;0;12 X 10;4;Sous-sol semi-enterr;2150671.97139187;2150681.92702903;-4.98300782584046;6.07197290957573
153;94081CI0021_01_SEN_ind01.pdf;94081CI0021;1;1;35;15;20;0;35;20;30m < D <= 40m;<30;0;0;0;0;5 X 4;3;Prsence de sablire;2150194.11112366;2150204.29770271;-20.4950423785975;-12.0554857242386
154;94081CK0105_01_SEN_ind01.pdf;94081CK0105;1;1;35;19;16;2;33;14;D > 50m;entre 30 et 60;1;1;1;0;10 X 7;6;/;2150634.52407158;2150647.36131092;9.42417035094477;24.7324961747912
155;94081CK0048_01_SEN_ind01.pdf;94081CK0048;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;0;1;0;8 X 8;4;Prsence de sablire;2150698.9892719;2150711.40464865;-35.0129245592626;-24.1526624208388
156;94081CL0073_01_SEN_ind01.pdf;94081CL0073;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;0;9 X 8;3;/;2150450.81295771;2150463.2982899;-16.0685715434886;-3.65579813424864
157;94081CJ0055_01_SEN_ind01.pdf;94081CJ0055;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;0;12 X 8;6;Prsence de sablire;2150903.76802501;2150917.9939761;-61.6807720837049;-47.5981199583491
158;94081CJ0076_01_SEN_ind01.pdf;94081CJ0076;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;0;8 X 5;6;Prsence de sablire;2150891.40924286;2150900.26266578;18.2870107745514;29.4505751987653
159;94081CL0063_01_SEN_ind01.pdf;94081CL0063;1;1;35;18;17;2;33;15;40m < D <= 50m;entre 60 et 90;1;0;1;0;9 X 8;5;/;2150456.24851602;2150470.33760139;15.8177701236835;30.1553842968191
160;94081CL0102_01_SEN_ind01.pdf;94081CL0102;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;0;10 X 9;6;/;2150389.08461915;2150401.23026667;-14.6496317079765;-2.37085201442107
161;94081CL0108_01_SEN_ind01.pdf;94081CL0108;1;1;35;17;18;2;33;16;30m < D <= 40m;entre 60 et 90;1;1;1;0;10 X 8;7;Btiment en L;2150318.04486765;2150328.11998328;13.7163136329729;23.2627089463884
162;94081CL0165_01_SEN_ind01.pdf;94081CL0165;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;1;1;0;10 X 8;6;/;2150576.74157117;2150587.85289682;-16.4290051860026;-6.49921362288786
163;94081DJ0088_03_SEN_ind01.pdf;94081DJ0088;3;1;35;17;18;2;33;16;10m < D <= 20m;<30;1;0;0;0;13 X 5;4;NULL;2151300.06707946;2151313.88056121;99.4369152219588;108.157367932281
164;94081CJ0049_01_SEN_ind01.pdf;94081CJ0049;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;0;0;NULL;10 X 8;9;Prsence de sablire;2150843.85424331;2150857.78927413;-12.5836959326643;0.318723134083158
165;94081CI0175_01_SEN_ind01.pdf;94081CI0175;1;1;35;25;10;Non dtermin (btiment ferm);NULL;non dtermin;10m < D <= 20m;entre 60 et 90;?;1;1;0;8 X 8;5;/;2151312.38709815;2151321.37899832;130.912114614875;141.967798438957
166;94081CL0104_01_SEN_ind01.pdf;94081CL0104;1;2;35;17;18;2;33;16;40m < D <= 50m;entre 60 et 90;1;0;1;0;10 X 8;5;/;2150368.80531387;2150381.64739525;-9.04974871117444;2.82613555986292
167;94081CL0003_01_SEN_ind01.pdf;94081CL0003;1;1;36;19;17;2;34;15;D > 50m;entre 60 et 90;1;0;1;0;9 X 8;6;/;2150574.01228555;2150583.17578086;-38.5124101017153;-27.3791874588468
168;94081CJ0071_01_SEN_ind01.pdf;94081CJ0071;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;0;8 X 5;6;Prsence de sablire;2150904.41087947;2150913.96647242;-20.0038965014861;-10.5225248431629
169;94081CL0164_01_SEN_ind01.pdf;94081CL0164;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;0;1;0;6 X 5;3;Bti en L;2150561.59260854;2150574.56551832;-23.4451761245253;-11.2480675653027
170;94081CI0191_04_SEN_ind01.pdf;94081CI0191;4;1;35;17;18;0;35;18;Au dessus de l'axe;entre 60 et 90;0;0;0;0;60 X 11;5;NULL;2150916.36932058;2151262.59332884;275.388265230013;301.954987940728
171;94081CL0106_01_SEN_ind01.pdf;94081CL0106;1;1;35;17;18;2;33;16;40m < D <= 50m;entre 60 et 90;1;2;1;0;10 X 9;8;/;2150353.18967547;2150368.13777397;-5.74832401804003;13.7656355560056
172;94081CJ0069_01_SEN_ind01.pdf;94081CJ0069;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;0;1;0;9 X 7;6;Prsence de sablire;2150917.49381506;2150929.22304956;-34.0118128912546;-22.1330661989936
173;94081CL0059_01_SEN_ind01.pdf;94081CL0059;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;0;0;11 X 5;3;/;2150502.60410755;2150510.90382474;-19.9615280707706;-8.61037790966362
174;94081CK0204_01_SEN_ind01.pdf;94081CK0204;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;NULL;11 X 9;7;Prsence de sablire;2150760.02279238;2150773.56043732;9.79731438990569;23.1870044374006
175;94081CL0101_01_SEN_ind01.pdf;94081CL0101;1;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;0;0;11 X 9;3;/;2150394.15011381;2150413.01211231;-29.4410731577006;-13.5177357760746
176;94081DJ0120_01_SEN_ind01.pdf;94081DJ0120;1;1;35;28;7;0;35;7;Au dessus de l'axe;entre 60 et 90;0;1;1;0;61 X 33;7;Accs ferm;2151452.55267287;2151487.41912157;-1.02280332743041;61.1351051411742
177;94081CI0277_01_SEN_ind01.pdf;94081CI0277;1;1;35;15;20;2;33;18;40m < D <= 50m;<30;1;1;0;0;8 X 8;5;Prsence de sablire;2150136.60283548;2150157.02582668;-5.16585797564753;15.5982621854135
178;94081CI0178_01_SEN_ind01.pdf;94081CI0178;1;2;35;25;10;3;32;7;0m < D <= 10m;<30;1;1;0;0;10 X 10;6;/;2151301.38191759;2151312.67416879;131.121878604271;140.999025798601
179;94081CJ0077_01_SEN_ind01.pdf;94081CJ0077;1;1;35;21;14;0;35;14;D > 50m;entre 30 et 60;0;0;1;0;9 X 4;6;Prsence de sablire;2150908.12202374;2150917.38711344;19.4180010247409;26.9277323670136
180;94081CI0097_01_SEN_ind01.pdf;94081CI0097;1;1;35;25;10;3;32;7;40m < D <= 50m;entre 60 et 90;1;0;1;0;8 X 7;4;/;2151306.14879334;2151323.36421084;168.604350381901;176.928169329184
181;94081CM0098_02_SEN_ind01.pdf;94081CM0098;2;2;35;17;18;2;33;16;40m < D <= 50m;<30;1;1;1;0;28 X 5;6;/;2150263.76631034;2150267.69037177;-36.0079261513149;-5.7672675494621
182;94081CK0049_02_SEN_ind01.pdf;94081CK0049;2;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;11 X 10;7;5;/;2150705.58055851;2150715.65568199;-31.2975044679333;-19.8493741986133
183;94081CL0006_01_SEN_ind01.pdf;94081CL0006;1;1;35;19;16;0;35;16;D > 50m;entre 60 et 90;0;0;0;0;11 X 10;3;/;2150557.90387848;2150567.92534894;-15.062457821154;-1.70451232760016
184;94081DJ0088_02_SEN_ind01.pdf;94081DJ0088;2;1;35;17;18;0;35;18;30m < D <= 40m;<30;0;0;0;0;75 X 15;6;NULL;2151300.61104136;2151315.90404788;3.31112213055277;73.2111068894075
185;94081CL0161_01_SEN_ind01.pdf;94081CL0161;1;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;1;/;18 X 11;4;btiment dsaffect;2150482.33203828;2150504.08040787;-3.68852281887355;16.3367787854499
186;94081CK0211_01_SEN_ind01.pdf;94081CK0211;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;12 X 10;7;NULL;2150711.61273461;2150725.7681465;-30.4750021707398;-7.61849046754031
187;94081CK0069_01_SEN_ind01.pdf;94081CK0069;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;7 X 5;7;5;Prsence de sablire;2150683.47285541;2150694.99481276;-26.5080130803086;-14.435718793135
188;94081CI0011_01_SEN_ind01.pdf;94081CI0011;1;1;35;15;20;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;1;0;0;9 X 8;6;NULL;2150138.01886104;2150149.70056509;-50.5555625504179;-38.3269925435318
189;94081CI0016_01_SEN_ind01.pdf;94081CI0016;1;1;35;13;22;Non dtermin;NULL;non dtermin;20m < D <= 30m;entre 60 et 90;Non dtermin;1;0;0;13 X 5;5;NULL;2150182.96724034;2150193.83018205;-68.315144489426;-54.103020028443
190;94081CK0022_01_SEN_ind01.pdf;94081CK0022;1;1;35;20;15;2;33;13;D > 50m;<30;1;0;1;0;11 X 9;5;Prsence de sablire;2150766.27560329;2150778.84465134;-33.622411586293;-21.0437475163543
191;94081CL0169_01_SEN_ind01.pdf;94081CL0169;1;1;35;17;18;2;33;16;D > 50m;entre 60 et 90;1;0;1;0;8 X 8;5;/;2150375.09894816;2150388.46655723;-15.3303596972486;0.589233899727422
192;94081CJ0100_01_SEN_ind01.pdf;94081CJ0100;1;2;35;20;15;3;32;12;D > 50m;entre 30 et 60;1;4;1;?;27 X 10;15;Prsence de sablire;2150806.18571273;2150847.15688395;-68.2748831208259;-17.4409858890702
193;94081CM0018_01_SEN_ind01.pdf;94081CM0018;1;1;35;16;19;3;32;16;30m < D <= 40m;entre 60 et 90;1;1;1;0;10 X 6;5;Prsence de sablire;2150253.52662915;2150263.69189751;-4.25699458093341;4.38899383603672
194;94081CK0109_01_SEN_ind01.pdf;94081CK0109;1;1;35;19;16;0;35;16;D > 50m;entre 30 et 60;0;0;0;0;10 X 9;3;btiment en U;2150614.07029709;2150624.27944735;-18.3401911210582;-9.51019692083909
195;94081CM0024_01_SEN_ind01.pdf;94081CM0024;1;2;35;16;19;0;35;19;40m < D <= 50m;<30;0;0;0;0;12 X 3;2;Prsence de sablire;2150224.12265027;2150234.99718384;-21.8948607663725;-16.2444882811553
196;94081CL0076_01_SEN_ind01.pdf;94081CL0076;1;2;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;0;0;13 X 8;3;/;2150470.92005428;2150481.35432187;-39.0431087807025;-25.5101956623181
197;94081CI0167_01_SEN_ind01.pdf;94081CI0167;1;1;35;22;13;NULL;35;13;Au dessus de l'axe;entre 60 et 90;0;NULL;NULL;NULL;91 X 13;5;Prsence de sablire;2150935.28975031;2151001.59407924;148.085683243154;211.647180042873
198;94081CI0190_01_SEN_ind01.pdf;94081CI0190;1;1;35;22;13;NULL;35;13;Au dessus de l'axe;entre 60 et 90;0;NULL;NULL;NULL;43 X 12;5;Prsence de sablire;2150970.84367303;2151025.09513007;159.196778240652;193.164951959039
199;94081DJ0092_01_SEN_ind01.pdf;94081DJ0092;1;1;35;17;18;0;35;18;0m < D <= 10m;<30;0;1;0;0;75 X 14;8;NULL;2151252.25240669;2151266.75043021;-14.2621605634692;114.162996370486
200;94081CI0191_07_SEN_ind01.pdf;94081CI0191;7;1;35;17;18;0;35;18;Au dessus de l'axe;<30;0;1;0;0;60 X 30;8;/;2150051.83270169;2150116.94867994;-54.2344284595451;5.00320421152969
201;94081CK0067_01_SEN_ind01.pdf;94081CK0067;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;0;0;0;16 X 7;4;NULL;2150714.6457046;2150732.53669001;18.9877023126225;31.504228390496
202;94081DJ0090_01_SEN_ind01.pdf;94081DJ0090;1;1;35;17;18;Non connus (btiment ferm);NULL;non dtermin;0m < D <= 10m;<30;Non identifi (btiment ferm);0;0;0;100 X 13;7;NULL;2151266.48347538;2151280.77600394;-14.7061869652393;111.246821369668
203;94081DJ0135_01_SEN_ind01.pdf;94081DJ0135;1;2;35;25;10;0;35;10;30m < D <= 40m;entre 60 et 90;0;0;0;0;35 X 15;8;NULL;2151313.81446248;2151330.65542971;-12.8986290608916;103.560676643405
