PK;bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
2126038.0;94081DI0024_03;1.0;2.0;1.0;1.5879384226511957e-05;3.889603558480024e-06;6.238474197983054e-06
2126048.0;94081DJ0131_16;1.0;1.0;1.0;2.880317629630593e-07;8.683955991562309e-08;2.0321463833393114e-07
2126048.0;94081DJ0131_05;1.0;2.0;1.0;0.015498503946992884;0.000755306137117539;0.0005937823292262741
2126048.0;94081DJ0131_08;1.0;1.0;1.0;2.3895717378308383e-06;6.479893868902505e-07;1.313545155537133e-06
2126048.0;94081DJ0131_09;1.0;1.0;1.0;0.00018562410173388646;3.7360526529809575e-05;4.891270091557738e-05
2126048.0;94081DI0024_03;1.0;2.0;1.0;1.5327695701534017e-05;3.7717275621684936e-06;6.074127586196474e-06
2126058.0;94081DJ0131_16;1.0;1.0;1.0;2.6658479932898705e-07;8.090000677432136e-08;1.902998981864794e-07
2126058.0;94081DJ0131_05;1.0;2.0;1.0;0.015482226933932997;0.0007573365650396285;0.0005956689724643909
2126058.0;94081DJ0131_09;1.0;1.0;1.0;0.00018014926467232315;3.648718107916265e-05;4.801518474779525e-05
2126058.0;94081DI0024_03;1.0;2.0;1.0;1.4577299585450593e-05;3.609916363785181e-06;5.846384627165485e-06
2126068.0;94081DJ0131_16;1.0;1.0;1.0;2.4486876782664425e-07;7.484338453685636e-08;1.770587579372902e-07
2126068.0;94081DJ0131_05;1.0;2.0;1.0;0.015460963483837839;0.0007593748259359098;0.0005976098802658037
2126068.0;94081DJ0131_09;1.0;1.0;1.0;0.000174263769174564;3.553887986125786e-05;4.703072246271141e-05
2126078.0;94081DJ0131_16;1.0;1.0;1.0;2.586357110879774e-07;7.870467507399471e-08;1.8548213399633092e-07
2126078.0;94081DJ0131_05;1.0;2.0;1.0;0.015470981670971102;0.0007579252716471548;0.0005961537382660712
2126078.0;94081DJ0131_09;1.0;1.0;1.0;0.00017787972702202413;3.61226503522107e-05;4.762685547937226e-05
2126088.0;94081DJ0131_16;1.0;1.0;1.0;2.4923143561285426e-07;7.60824254005867e-08;1.7972714288640861e-07
2126088.0;94081DJ0131_05;1.0;2.0;1.0;0.0154503721813896;0.000758247916740328;0.0005965088117042399
2126088.0;94081DJ0131_09;1.0;1.0;1.0;0.00017519015860125415;3.5684249149503484e-05;4.716015358784652e-05
2126088.0;94081DJ0131_10;1.0;2.0;1.0;6.938768615206688e-06;1.789968476261974e-06;3.391502073493561e-06
2126098.0;94081DJ0131_16;1.0;1.0;1.0;2.2838833590323614e-07;7.045627088147902e-08;1.6786572489018867e-07
2126098.0;94081DJ0131_05;1.0;2.0;1.0;0.015418393320273262;0.0007612884817357174;0.0005994397784047198
2126098.0;94081DJ0131_09;1.0;1.0;1.0;0.00016674584637712094;3.4309796372696005e-05;4.5726978194021e-05
2126098.0;94081DJ0131_10;1.0;2.0;1.0;6.393582945153382e-06;1.6664746489806047e-06;3.1821968178151595e-06
2126108.0;94081DJ0131_16;1.0;1.0;1.0;2.1903288444594498e-07;6.780818413478928e-08;1.620829486931279e-07
2126108.0;94081DJ0131_05;1.0;2.0;1.0;0.014951858832452066;0.0007398414189602577;0.000582888007736149
2126108.0;94081DJ0131_09;1.0;1.0;1.0;0.00015906068879283704;3.284062919475917e-05;4.3909614783747316e-05
2126108.0;94081DJ0131_10;1.0;2.0;1.0;6.050356244174573e-06;1.5824964057467564e-06;3.030904027762835e-06
2126118.0;94081DJ0131_16;1.0;1.0;1.0;2.12287374350396e-07;6.588672874525219e-08;1.5792549677565343e-07
2126118.0;94081DJ0131_05;1.0;2.0;1.0;0.014968636280948862;0.0007418956018060163;0.000584910168164172
2126118.0;94081DJ0131_09;1.0;1.0;1.0;0.00015727713769974578;3.2553579897486914e-05;4.364323601865105e-05
2126118.0;94081DJ0131_10;1.0;2.0;1.0;5.935052034814685e-06;1.5562410792135602e-06;2.988189734522035e-06
2126128.0;94081DJ0131_16;1.0;1.0;1.0;2.046081199977385e-07;6.37044586015898e-08;1.5312551731402882e-07
2126128.0;94081DJ0131_05;1.0;2.0;1.0;0.014985470714582338;0.0007441353653010775;0.0005869440521431746
2126128.0;94081DJ0131_09;1.0;1.0;1.0;0.00015514971756190637;3.2211835004721285e-05;4.330522327272141e-05
2126128.0;94081DJ0131_10;1.0;2.0;1.0;5.7966187882437215e-06;1.5246889103847929e-06;2.935194829902474e-06
2126138.0;94081DJ0131_05;1.0;2.0;1.0;0.015002041906216068;0.0007464305219075022;0.0005889771781988497
2126138.0;94081DJ0131_09;1.0;1.0;1.0;0.00015290852799147887;3.1850734046547784e-05;4.2940341073742775e-05
2126138.0;94081DJ0131_10;1.0;2.0;1.0;5.651771927303575e-06;1.491569594710143e-06;2.8789440925029423e-06
2126148.0;94081DJ0131_05;1.0;2.0;1.0;0.01500819728450713;0.0007485039702964188;0.000590842515157276
2126148.0;94081DJ0131_10;1.0;2.0;1.0;5.475517794366156e-06;1.4509546556218313e-06;2.8091497141992633e-06
2126148.0;94081DJ0131_11;1.0;1.0;1.0;4.705430166179471e-06;1.2552204309248586e-06;2.452968430130982e-06
2126158.0;94081DJ0131_05;1.0;2.0;1.0;0.015010699668474941;0.0007502208074780987;0.000592340121754387
2126158.0;94081DJ0131_10;1.0;2.0;1.0;5.320755756546577e-06;1.4151204224109948e-06;2.7470302013828677e-06
2126158.0;94081DJ0131_11;1.0;1.0;1.0;4.570597892942248e-06;1.2237321967743301e-06;2.397758831995751e-06
2126168.0;94081DJ0131_12;1.0;1.0;1.0;4.0249091956879984e-05;9.468247931681461e-06;1.5330536541252437e-05
2126168.0;94081DJ0131_05;1.0;2.0;1.0;0.015011231545133978;0.0007518464462972474;0.0005937668938840676
2126168.0;94081DJ0131_10;1.0;2.0;1.0;5.1700718054011065e-06;1.3800585101819069e-06;2.686072156105374e-06
2126168.0;94081DJ0131_11;1.0;1.0;1.0;4.439436892348882e-06;1.192953088959147e-06;2.343639454797906e-06
2126178.0;94081DJ0131_12;1.0;1.0;1.0;3.9336933573835606e-05;9.287360952640194e-06;1.5079107163614753e-05
2126178.0;94081DJ0131_05;1.0;2.0;1.0;0.015010126051581186;0.0007534021864161061;0.000595135533050935
2126178.0;94081DJ0131_10;1.0;2.0;1.0;5.020951043131937e-06;1.3452043703588087e-06;2.6251983049670406e-06
2126178.0;94081DJ0131_11;1.0;1.0;1.0;4.309725338798813e-06;1.162378904489143e-06;2.2896388803381034e-06
2126188.0;94081DJ0131_12;1.0;1.0;1.0;3.8453063364591385e-05;9.111625306490843e-06;1.4834605195871421e-05
2126188.0;94081DJ0131_05;1.0;2.0;1.0;0.015010904693988473;0.0007550466931820884;0.0005965855815714715
2126188.0;94081DJ0131_11;1.0;1.0;1.0;4.184062311460818e-06;1.1326442825711525e-06;2.2370012647027225e-06
2126198.0;94081DJ0131_12;1.0;1.0;1.0;3.743884124783484e-05;8.908677100751613e-06;1.4550938786028856e-05
2126198.0;94081DJ0131_05;1.0;2.0;1.0;0.01500866394664316;0.0007567992572336483;0.0005981605619008457
2126198.0;94081DJ0131_11;1.0;1.0;1.0;4.0413884610977674e-06;1.098701690293194e-06;2.176706912485187e-06
