ID_bati;Typologie;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base
94081CL0006_01;building;None;None;None;None;2150557.90388;2150567.92535;-15.0624579799;-1.70450966851;1.0;1.0;1.0;10.0984066718;0.526383791364;0.38902919735;1.0;1.0;10.0984066718;0.526383791364;0.38902919735
94081CL0038_01;building;None;None;None;None;2150552.07543;2150565.37548;-4.69468386991;9.43252465404;1.0;1.0;1.0;10.6554787463;0.538857852343;0.420334401112;1.0;1.0;10.6554787463;0.538857852343;0.420334401112
94081CL0004_01;building;None;None;None;None;2150569.00579;2150577.36013;-27.1684719634;-18.9806478417;1.0;1.0;1.0;2.78539497041;0.365145365679;0.143350880011;1.0;1.0;2.78539497041;0.365145365679;0.143350880011
94081CL0010_01;building;None;None;None;None;2150560.62445;2150575.48115;26.5262302127;39.5321150296;1.0;1.0;1.0;0.897234174725;0.151353666353;0.111110869922;1.0;1.0;0.897234174725;0.151353666353;0.111110869922
94081CL0164_01;building;None;None;None;None;2150561.59261;2150574.56551;-23.445176327;-11.2480622199;1.0;1.0;1.0;6.36304286595;0.542015668093;0.141081005447;1.0;1.0;6.36304286595;0.542015668093;0.141081005447
94081CL0003_01;building;None;None;None;None;2150574.01229;2150583.17578;-38.5124107832;-27.3791884771;1.0;1.0;1.0;0.776110186099;0.133679894357;0.103143077751;1.0;1.0;0.776110186099;0.133679894357;0.103143077751
94081CL0008_01;building;None;None;None;None;2150576.69605;2150585.23;3.52442979936;15.5755658142;1.0;1.0;1.0;10.1825755323;0.548982029756;0.361149940509;1.0;1.0;10.1825755323;0.548982029756;0.361149940509
94081CL0009_01;building;None;None;None;None;2150574.31119;2150585.29458;15.4062438326;24.9816193008;1.0;1.0;1.0;4.36492533479;0.4752654132;0.16553346048;1.0;1.0;4.36492533479;0.4752654132;0.16553346048
94081CL0165_01;building;None;None;None;None;2150576.74157;2150587.85289;-16.4290040418;-6.49921655729;1.0;1.0;1.0;8.91773032049;0.547749109948;0.205906745701;1.0;1.0;8.91773032049;0.547749109948;0.205906745701
94081CL0007_01;building;None;None;None;None;2150579.42287;2150587.02457;-4.75160809618;0.719109897615;1.0;1.0;1.0;10.515582585;0.364538349907;0.352566901223;1.0;1.0;10.515582585;0.364538349907;0.352566901223
94081CK0180_01;building;None;None;None;None;2150598.79009;2150618.47374;-33.620804505;-21.9595603067;1.0;1.0;1.0;1.90420261975;0.275821247947;0.142356721774;1.0;1.0;1.90420261975;0.275821247947;0.142356721774
94081CK0109_02;building;None;None;None;None;2150604.26717;2150612.06414;-18.6148782456;-6.87331687642;1.0;1.0;1.0;9.10174743078;0.558135984599;0.227317126933;1.0;1.0;9.10174743078;0.558135984599;0.227317126933
94081CK0112_01;building;None;None;None;None;2150600.50855;2150611.34162;-7.54691810173;4.59347293825;1.0;1.0;1.0;10.7050001052;0.491293887779;0.418164003205;1.0;1.0;10.7050001052;0.491293887779;0.418164003205
94081CK0113_01;building;None;None;None;None;2150605.46894;2150622.04244;2.50823478859;15.4101825388;1.0;1.0;1.0;10.5147741375;0.555202670608;0.333980257845;1.0;1.0;10.5147741375;0.555202670608;0.333980257845
94081CK0114_01;building;None;None;None;None;2150606.69258;2150624.17243;22.7365355994;42.1741418662;1.0;1.0;1.0;1.76067958322;0.260945360379;0.14347967073;1.0;1.0;1.76067958322;0.260945360379;0.14347967073
94081CK0108_01;building;None;None;None;None;2150618.33329;2150629.31633;-15.6051371398;-3.8663672201;1.0;1.0;1.0;10.0540018311;0.546712967508;0.318803078551;1.0;1.0;10.0540018311;0.546712967508;0.318803078551
94081CK0109_01;building;None;None;None;None;2150614.0703;2150624.27945;-18.3401912702;-9.51019905632;1.0;1.0;1.0;7.49954724157;0.539518570792;0.15664871682;1.0;1.0;7.49954724157;0.539518570792;0.15664871682
94081CK0107_01;building;None;None;None;None;2150624.26849;2150634.44048;-4.37555784068;6.88637894226;1.0;1.0;1.0;10.8519382103;0.47953165898;0.360750301249;1.0;1.0;10.8519382103;0.47953165898;0.360750301249
94081CK0186_01;building;None;None;None;None;2150626.88849;2150638.37429;-40.4673387497;-26.8344637196;1.0;1.0;1.0;0.945431980489;0.156861275742;0.127081505937;1.0;1.0;0.945431980489;0.156861275742;0.127081505937
94081CK0105_01;building;None;None;None;None;2150634.52407;2150647.36131;9.42417055548;24.732496766;1.0;1.0;1.0;7.78307914861;0.562973146797;0.146379227634;1.0;1.0;7.78307914861;0.562973146797;0.146379227634
94081CK0106_01;building;None;None;None;None;2150632.12244;2150643.77697;3.30068195864;14.6177513213;1.0;1.0;1.0;10.5814637819;0.566946114688;0.323335354045;1.0;1.0;10.5814637819;0.566946114688;0.323335354045
94081CK0187_01;building;None;None;None;None;2150632.23424;2150643.45716;-32.0520502682;-19.1982317545;1.0;1.0;1.0;2.96507284972;0.37908574418;0.170977109295;1.0;1.0;2.96507284972;0.37908574418;0.170977109295
94081CK0088_01;building;None;None;None;None;2150643.5487;2150655.16165;-19.2387472541;-6.54251024588;1.0;1.0;1.0;9.3584699034;0.567060522671;0.214419363304;1.0;1.0;9.3584699034;0.567060522671;0.214419363304
94081CK0104_01;building;None;None;None;None;2150640.6673;2150655.22724;20.0133374985;32.8611364308;1.0;1.0;1.0;2.64634911933;0.350769571914;0.157349475234;1.0;1.0;2.64634911933;0.350769571914;0.157349475234
94081CK0089_01;building;None;None;None;None;2150650.4142;2150664.19414;-11.1930320572;2.96084972596;1.0;1.0;1.0;11.3038208862;0.578255999039;0.373871300859;1.0;1.0;11.3038208862;0.578255999039;0.373871300859
94081CK0103_01;building;None;None;None;None;2150651.68626;2150664.14406;24.0845092366;41.2706292202;1.0;1.0;1.0;1.52573161038;0.233518443812;0.141169344913;1.0;1.0;1.52573161038;0.233518443812;0.141169344913
94081CK0070_01;building;None;None;None;None;2150679.85105;2150690.37074;-30.6753800854;-21.7868913189;1.0;1.0;1.0;2.20872379056;0.311030037224;0.1538416872;1.0;1.0;2.20872379056;0.311030037224;0.1538416872
94081CK0071_01;building;None;None;None;None;2150676.5299;2150687.68616;-34.888604956;-23.8484639397;1.0;1.0;1.0;1.60716345574;0.242968549488;0.143519115061;1.0;1.0;1.60716345574;0.242968549488;0.143519115061
94081CK0091_01;building;None;None;None;None;2150671.97139;2150681.92703;-4.98300504916;6.07197525251;1.0;1.0;1.0;11.5448738035;0.464902909525;0.380558751332;1.0;1.0;11.5448738035;0.464902909525;0.380558751332
94081CK0069_01;building;None;None;None;None;2150683.47285;2150694.99481;-26.5080123087;-14.4357196453;1.0;1.0;1.0;5.50146505383;0.558746671197;0.15738767048;1.0;1.0;5.50146505383;0.558746671197;0.15738767048
94081CK0069_02;building;None;None;None;None;2150689.71488;2150701.62411;-14.4680201077;-3.25709666151;1.0;1.0;1.0;11.4048140661;0.604263111241;0.346106986264;1.0;1.0;11.4048140661;0.604263111241;0.346106986264
94081CK0092_01;building;None;None;None;None;2150682.36837;2150695.0788;17.4794039899;28.5155783601;1.0;1.0;1.0;3.92370831104;0.465404123133;0.156777522686;1.0;1.0;3.92370831104;0.465404123133;0.156777522686
94081CK0048_01;building;None;None;None;None;2150698.98927;2150711.40465;-35.0129270174;-24.1526613757;1.0;1.0;1.0;1.61868113564;0.245103108583;0.146845851154;1.0;1.0;1.61868113564;0.245103108583;0.146845851154
94081CK0067_03;building;None;None;None;None;2150692.73664;2150712.68963;-1.24388790946;17.8331794817;1.0;1.0;1.0;11.9693137222;0.607476069219;0.392557786002;1.0;1.0;11.9693137222;0.607476069219;0.392557786002
94081CK0068_01;building;None;None;None;None;2150693.9327;2150708.65378;-10.9835330847;2.08081903532;1.0;1.0;1.0;12.0771521909;0.613915027564;0.39676275489;1.0;1.0;12.0771521909;0.613915027564;0.39676275489
94081CK0093_01;building;None;None;None;None;2150691.39586;2150707.67603;24.820970877;35.6352386441;1.0;1.0;1.0;1.44504142486;0.223846346973;0.141165552509;1.0;1.0;1.44504142486;0.223846346973;0.141165552509
94081CK0049_02;building;None;None;None;None;2150705.58056;2150715.65568;-31.2975011697;-19.8493774879;1.0;1.0;1.0;3.02581225836;0.39460526146;0.160957488374;1.0;1.0;3.02581225836;0.39460526146;0.160957488374
94081CK0051_01;building;None;None;None;None;2150719.08809;2150734.8532;-14.4239587811;1.11152762006;1.0;1.0;1.0;12.4554503825;0.63001742578;0.407141017774;1.0;1.0;12.4554503825;0.63001742578;0.407141017774
94081CK0067_01;building;None;None;None;None;2150714.64571;2150732.53669;18.9877063019;31.5042319934;1.0;1.0;1.0;3.40485599667;0.426227517413;0.160135618683;1.0;1.0;3.40485599667;0.426227517413;0.160135618683
94081CK0211_01;building;None;None;None;None;2150711.61274;2150725.76815;-30.4750028102;-7.61848726266;1.0;1.0;1.0;9.86535884297;0.623942974732;0.191155278884;1.0;1.0;9.86535884297;0.623942974732;0.191155278884
94081CK0052_01;building;None;None;None;None;2150729.20026;2150745.92662;-5.01848802736;8.73516687647;1.0;1.0;1.0;12.3607231802;0.595702926768;0.40337041159;1.0;1.0;12.3607231802;0.595702926768;0.40337041159
94081CK0213_01;building;None;None;None;None;2150723.99096;2150738.73738;23.5586555518;36.0245090789;1.0;1.0;1.0;1.89905670558;0.277680677953;0.177203310675;1.0;1.0;1.89905670558;0.277680677953;0.177203310675
94081CK0053_01;building;None;None;None;None;2150740.06137;2150751.63103;2.28987390827;13.5243617558;1.0;1.0;1.0;12.152631704;0.625066168352;0.381320470645;1.0;1.0;12.152631704;0.625066168352;0.381320470645
94081CK0054_01;building;None;None;None;None;2150748.60285;2150763.49309;6.43781222734;18.5271939344;1.0;1.0;1.0;10.8112549307;0.636133684132;0.250556875128;1.0;1.0;10.8112549307;0.636133684132;0.250556875128
