ID_bati;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base;Classe de dommage - Vibration;Vulnérablité - Vibration;Vitessse de vibration
940280L0101_01;2122088.0;2122088.0;224.085189526;238.272634026;None;None;None;None;1.0;1.0;1.0;5.54750470497e-42;4.61166795213e-42;3.80218596276e-41;1.0;1.0;5.54750470497e-42;4.61166795213e-42;3.80218596276e-41;1.0;1.0;0.00583758188095
940280L0109_01;2122088.0;2122088.0;194.952821428;211.174955629;None;None;None;None;1.0;1.0;1.0;5.0715556372e-32;3.6801874146e-32;2.6689800513e-31;1.0;1.0;5.0715556372e-32;3.6801874146e-32;2.6689800513e-31;1.0;1.0;0.00706868615651
940280L0113_01;2122088.0;2122088.0;215.459978956;248.159139639;None;None;None;None;1.0;1.0;1.0;8.15559436931e-39;6.52442974944e-39;5.24293957591e-38;1.0;1.0;8.15559436931e-39;6.52442974944e-39;5.24293957591e-38;1.0;1.0;0.00616381821386
940280N0079_01;2122088.0;2122088.0;91.2373908116;126.829041072;None;None;None;None;1.0;1.0;1.0;9.40592775411e-08;3.34034572911e-08;1.08010603031e-07;1.0;1.0;9.40592775411e-08;3.34034572911e-08;1.08010603031e-07;1.0;1.0;0.0196954326846
940280N0114_01;2122088.0;2122088.0;77.7455789382;156.037722605;None;None;None;None;1.0;1.0;1.0;8.03544347441e-06;2.48952818554e-06;6.71775588625e-06;1.0;1.0;8.03544347441e-06;2.48952818554e-06;6.71775588625e-06;1.0;1.0;0.0242849315462
940280N0114_02;2122088.0;2122088.0;61.9954792375;79.7638679611;None;None;None;None;1.0;1.0;1.0;0.000690957892073;0.000176867861091;0.000364373386746;1.0;1.0;0.000690957892073;0.000176867861091;0.000364373386746;1.0;1.0;0.0324227803278
940280N0114_03;2122088.0;2122088.0;63.7285436494;97.4148010861;None;None;None;None;1.0;1.0;1.0;0.000417522855224;0.000109326392463;0.000232965479417;1.0;1.0;0.000417522855224;0.000109326392463;0.000232965479417;1.0;1.0;0.0313189531666
94028BC0117_01;2122632.55879;2122653.36205;9.60475004175;47.7459256013;None;None;None;None;2.0;1.0;1.0;4.63122547731;0.483241639036;0.109191437313;1.0;1.0;4.63122547731;0.483241639036;0.109191437313;1.0;1.0;0.312181573104
94028BC0117_02;2122650.84652;2122664.26103;21.5789269678;37.5580499706;None;None;None;None;2.0;1.0;1.0;0.587922405756;0.118409239489;0.0814028105668;1.0;1.0;0.587922405756;0.118409239489;0.0814028105668;1.0;1.0;0.13587069724
94028BC0117_03;2122663.41964;2122685.52069;13.0719410995;49.4731215533;None;None;None;None;3.0;1.0;2.0;2.88854974495;0.407662367654;0.114652855278;1.0;2.0;2.88854974495;0.407662367654;0.114652855278;1.0;1.0;0.236865451776
94028BC0255_01;2122937.89899;2122967.62732;-65.1138486811;-35.2217431068;None;None;None;None;1.0;1.0;1.0;0.0818006399107;0.0195611779513;0.025569169152;1.0;1.0;0.0818006399107;0.0195611779513;0.025569169152;1.0;1.0;0.0699854741438
94028BC0255_02;2122958.22334;2122984.49822;-41.5405858149;-14.0131844551;None;None;None;None;1.0;1.0;1.0;4.9133192333;0.626675902524;0.177684361855;1.0;1.0;4.9133192333;0.626675902524;0.177684361855;1.0;1.0;0.182242341103
94028BC0255_03;2122919.52648;2122941.32579;-34.6793347018;-13.1029780299;None;None;None;None;1.0;1.0;1.0;6.19029257618;0.75144369489;0.200506976531;1.0;1.0;6.19029257618;0.75144369489;0.200506976531;1.0;1.0;0.191723373188
