ID;Descrizione;PK;x;y;top;base
La (2);La;2066.58;2527632.30;4151193.44;-3.76;-3.76
La (3);La;2066.58;2527632.30;4151193.44;-3.76;-3.76
Sbl;Sbl;2066.58;2527632.30;4151193.44;-3.76;-6.86
Bvlc (19);Bvlc;2066.58;2527632.30;4151193.44;-6.86;-7.09
Sbl (17);Sbl;2066.58;2527632.30;4151193.44;-7.09;-13.79
Sb (9);Sb;2066.58;2527632.30;4151193.44;-13.79;-14.81
Sbl (19);Sbl;2066.58;2527632.30;4151193.44;-14.81;-17.73
DEM;DEM;2076.58;2527622.89;4151196.82;14.57;14.57
Rp (6);Rp;2076.58;2527622.89;4151196.82;14.57;13.48
sBV;sBV;2076.58;2527622.89;4151196.82;13.48;12.60
La (1);La;2076.58;2527622.89;4151196.82;12.60;-3.15
La (2);La;2076.58;2527622.89;4151196.82;-3.15;-3.15
La (3);La;2076.58;2527622.89;4151196.82;-3.15;-3.15
Sbl (17);Sbl;2076.58;2527622.89;4151196.82;-3.15;-13.61
Sb (9);Sb;2076.58;2527622.89;4151196.82;-13.61;-14.76
Sbl (19);Sbl;2076.58;2527622.89;4151196.82;-14.76;-17.80
DEM;DEM;2086.58;2527613.47;4151200.20;14.74;14.74
Rp (6);Rp;2086.58;2527613.47;4151200.20;14.74;13.24
sBV;sBV;2086.58;2527613.47;4151200.20;13.24;12.39
La (1);La;2086.58;2527613.47;4151200.20;12.39;-2.20
La (2);La;2086.58;2527613.47;4151200.20;-2.20;-2.20
La (3);La;2086.58;2527613.47;4151200.20;-2.20;-2.20
Sbl (17);Sbl;2086.58;2527613.47;4151200.20;-2.20;-13.43
Sb (9);Sb;2086.58;2527613.47;4151200.20;-13.43;-14.71
Sbl (19);Sbl;2086.58;2527613.47;4151200.20;-14.71;-17.84
DEM;DEM;2096.58;2527604.06;4151203.57;14.91;14.91
Rp (6);Rp;2096.58;2527604.06;4151203.57;14.91;13.00
sBV;sBV;2096.58;2527604.06;4151203.57;13.00;12.14
La (1);La;2096.58;2527604.06;4151203.57;12.14;-0.66
La (2);La;2096.58;2527604.06;4151203.57;-0.66;-0.66
La (3);La;2096.58;2527604.06;4151203.57;-0.66;-0.66
Sbl (17);Sbl;2096.58;2527604.06;4151203.57;-0.66;-13.27
Sb (9);Sb;2096.58;2527604.06;4151203.57;-13.27;-14.67
Sbl (19);Sbl;2096.58;2527604.06;4151203.57;-14.67;-17.87
DEM;DEM;2106.58;2527594.65;4151206.95;15.08;15.08
Rp (6);Rp;2106.58;2527594.65;4151206.95;15.08;12.76
sBV;sBV;2106.58;2527594.65;4151206.95;12.76;11.82
La (1);La;2106.58;2527594.65;4151206.95;11.82;2.50
La (2);La;2106.58;2527594.65;4151206.95;2.50;2.50
La (3);La;2106.58;2527594.65;4151206.95;2.50;2.50
Sbl (17);Sbl;2106.58;2527594.65;4151206.95;2.50;-13.15
Sb (9);Sb;2106.58;2527594.65;4151206.95;-13.15;-14.64
Sbl (19);Sbl;2106.58;2527594.65;4151206.95;-14.64;-17.88
DEM;DEM;2116.58;2527585.24;4151210.33;15.26;15.26
Rp (6);Rp;2116.58;2527585.24;4151210.33;15.26;12.52
sBV;sBV;2116.58;2527585.24;4151210.33;12.52;11.41
Sbl (17);Sbl;2116.58;2527585.24;4151210.33;11.41;-13.06
Sb (9);Sb;2116.58;2527585.24;4151210.33;-13.06;-14.61
Sbl (19);Sbl;2116.58;2527585.24;4151210.33;-14.61;-17.72
Agm (2);Agm;2116.58;2527585.24;4151210.33;-17.72;-17.87
DEM;DEM;2126.58;2527575.83;4151213.71;15.49;15.49
Rp (6);Rp;2126.58;2527575.83;4151213.71;15.49;12.07
sBV;sBV;2126.58;2527575.83;4151213.71;12.07;10.96
Sbl (17);Sbl;2126.58;2527575.83;4151213.71;10.96;-13.01
Sb (9);Sb;2126.58;2527575.83;4151213.71;-13.01;-14.56
Sbl (19);Sbl;2126.58;2527575.83;4151213.71;-14.56;-17.47
Agm (2);Agm;2126.58;2527575.83;4151213.71;-17.47;-17.84
DEM;DEM;2136.58;2527566.41;4151217.09;15.81;15.81
Rp (6);Rp;2136.58;2527566.41;4151217.09;15.81;11.40
sBV;sBV;2136.58;2527566.41;4151217.09;11.40;10.47
Lbb (5);Lbb;2136.58;2527566.41;4151217.09;10.47;10.21
Sbl (1);Sbl;2136.58;2527566.41;4151217.09;10.21;-2.56
Sb (1);Sb;2136.58;2527566.41;4151217.09;-2.56;-2.69
Sbl (17);Sbl;2136.58;2527566.41;4151217.09;-2.69;-12.96
Sb (9);Sb;2136.58;2527566.41;4151217.09;-12.96;-14.48
Sbl (19);Sbl;2136.58;2527566.41;4151217.09;-14.48;-17.07
Agm (2);Agm;2136.58;2527566.41;4151217.09;-17.07;-17.79
DEM;DEM;2146.58;2527557.00;4151220.46;15.82;15.82
Rp (6);Rp;2146.58;2527557.00;4151220.46;15.82;10.64
sBV;sBV;2146.58;2527557.00;4151220.46;10.64;9.88
Lbb (5);Lbb;2146.58;2527557.00;4151220.46;9.88;8.85
Sbl (1);Sbl;2146.58;2527557.00;4151220.46;8.85;-2.08
Sb (1);Sb;2146.58;2527557.00;4151220.46;-2.08;-2.81
Sbl (17);Sbl;2146.58;2527557.00;4151220.46;-2.81;-12.89
Sb (9);Sb;2146.58;2527557.00;4151220.46;-12.89;-14.34
Sbl (19);Sbl;2146.58;2527557.00;4151220.46;-14.34;-16.35
Agm (2);Agm;2146.58;2527557.00;4151220.46;-16.35;-17.71
DEM;DEM;2156.58;2527547.59;4151223.84;15.84;15.84
Rp (6);Rp;2156.58;2527547.59;4151223.84;15.84;9.47
sBV;sBV;2156.58;2527547.59;4151223.84;9.47;9.27
Lbb (5);Lbb;2156.58;2527547.59;4151223.84;9.27;7.77
Sbl (1);Sbl;2156.58;2527547.59;4151223.84;7.77;-1.61
Sb (1);Sb;2156.58;2527547.59;4151223.84;-1.61;-2.94
Sbl (17);Sbl;2156.58;2527547.59;4151223.84;-2.94;-12.95
Sb (9);Sb;2156.58;2527547.59;4151223.84;-12.95;-13.91
Sbl (19);Sbl;2156.58;2527547.59;4151223.84;-13.91;-14.74
Agm (2);Agm;2156.58;2527547.59;4151223.84;-14.74;-17.61
DEM;DEM;2166.58;2527538.18;4151227.22;15.86;15.86
Rp (6);Rp;2166.58;2527538.18;4151227.22;15.86;9.02
Lbb (5);Lbb;2166.58;2527538.18;4151227.22;9.02;7.38
Sbl (1);Sbl;2166.58;2527538.18;4151227.22;7.38;-1.16
Sb (1);Sb;2166.58;2527538.18;4151227.22;-1.16;-3.18
Sbl (17);Sbl;2166.58;2527538.18;4151227.22;-3.18;-12.72
Agm (2);Agm;2166.58;2527538.18;4151227.22;-12.72;-17.49
DEM;DEM;2176.58;2527528.77;4151230.60;16.15;16.15
Rp (6);Rp;2176.58;2527528.77;4151230.60;16.15;9.22
Lbb (5);Lbb;2176.58;2527528.77;4151230.60;9.22;7.19
Sbl (1);Sbl;2176.58;2527528.77;4151230.60;7.19;-0.89
Sb (1);Sb;2176.58;2527528.77;4151230.60;-0.89;-3.37
Sbl (3);Sbl;2176.58;2527528.77;4151230.60;-3.37;-8.82
Sb (13);Sb;2176.58;2527528.77;4151230.60;-8.82;-9.38
Sbl (17);Sbl;2176.58;2527528.77;4151230.60;-9.38;-11.52
Agm (2);Agm;2176.58;2527528.77;4151230.60;-11.52;-17.34
DEM;DEM;2186.58;2527519.35;4151233.98;16.81;16.81
Rp (6);Rp;2186.58;2527519.35;4151233.98;16.81;9.15
Lbb (5);Lbb;2186.58;2527519.35;4151233.98;9.15;7.15
Sbl (1);Sbl;2186.58;2527519.35;4151233.98;7.15;-0.67
Sb (1);Sb;2186.58;2527519.35;4151233.98;-0.67;-3.36
Sbl (3);Sbl;2186.58;2527519.35;4151233.98;-3.36;-8.28
Sb (13);Sb;2186.58;2527519.35;4151233.98;-8.28;-9.40
Sbl (17);Sbl;2186.58;2527519.35;4151233.98;-9.40;-10.62
Agm (2);Agm;2186.58;2527519.35;4151233.98;-10.62;-17.18
DEM;DEM;2196.58;2527509.94;4151237.35;17.47;17.47
Rp (6);Rp;2196.58;2527509.94;4151237.35;17.47;9.08
Lbb (5);Lbb;2196.58;2527509.94;4151237.35;9.08;7.33
Sbl (1);Sbl;2196.58;2527509.94;4151237.35;7.33;-0.43
Sb (1);Sb;2196.58;2527509.94;4151237.35;-0.43;-3.33
Sbl (3);Sbl;2196.58;2527509.94;4151237.35;-3.33;-7.62
Sb (13);Sb;2196.58;2527509.94;4151237.35;-7.62;-9.43
Sbl (17);Sbl;2196.58;2527509.94;4151237.35;-9.43;-9.78
Agm (2);Agm;2196.58;2527509.94;4151237.35;-9.78;-17.00
DEM;DEM;2206.58;2527500.53;4151240.73;18.26;18.26
Rp (6);Rp;2206.58;2527500.53;4151240.73;18.26;9.07
Lbb (5);Lbb;2206.58;2527500.53;4151240.73;9.07;7.83
Sbl (1);Sbl;2206.58;2527500.53;4151240.73;7.83;-0.13
Sb (1);Sb;2206.58;2527500.53;4151240.73;-0.13;-3.31
Sbl (3);Sbl;2206.58;2527500.53;4151240.73;-3.31;-6.86
Sb (13);Sb;2206.58;2527500.53;4151240.73;-6.86;-8.93
Agm (2);Agm;2206.58;2527500.53;4151240.73;-8.93;-16.80
DEM;DEM;2216.58;2527491.12;4151244.11;19.46;19.46
Rp (6);Rp;2216.58;2527491.12;4151244.11;19.46;9.12
Lbb (5);Lbb;2216.58;2527491.12;4151244.11;9.12;8.44
Sbl (1);Sbl;2216.58;2527491.12;4151244.11;8.44;0.29
Sb (1);Sb;2216.58;2527491.12;4151244.11;0.29;-3.31
Sbl (3);Sbl;2216.58;2527491.12;4151244.11;-3.31;-6.18
Sb (13);Sb;2216.58;2527491.12;4151244.11;-6.18;-8.52
Agm (2);Agm;2216.58;2527491.12;4151244.11;-8.52;-16.58
DEM;DEM;2226.58;2527481.70;4151247.47;20.88;20.88
Rp (6);Rp;2226.58;2527481.70;4151247.47;20.88;9.86
Lbb (5);Lbb;2226.58;2527481.70;4151247.47;9.86;9.19
Sbl (1);Sbl;2226.58;2527481.70;4151247.47;9.19;1.04
Sb (1);Sb;2226.58;2527481.70;4151247.47;1.04;-3.43
Sbl (3);Sbl;2226.58;2527481.70;4151247.47;-3.43;-5.47
Sb (13);Sb;2226.58;2527481.70;4151247.47;-5.47;-8.25
Agm (2);Agm;2226.58;2527481.70;4151247.47;-8.25;-16.35
DEM;DEM;2236.58;2527472.24;4151250.73;22.31;22.31
Rp (6);Rp;2236.58;2527472.24;4151250.73;22.31;11.88
Lbb (5);Lbb;2236.58;2527472.24;4151250.73;11.88;10.11
Sbl (12);Sbl;2236.58;2527472.24;4151250.73;10.11;9.34
Sb (10);Sb;2236.58;2527472.24;4151250.73;9.34;9.15
Sbl (2);Sbl;2236.58;2527472.24;4151250.73;9.15;7.29
P;P;2236.58;2527472.24;4151250.73;7.29;6.67
Sbl (1);Sbl;2236.58;2527472.24;4151250.73;6.67;3.55
Sb (1);Sb;2236.58;2527472.24;4151250.73;3.55;-3.85
Sbl (3);Sbl;2236.58;2527472.24;4151250.73;-3.85;-4.56
Sb (13);Sb;2236.58;2527472.24;4151250.73;-4.56;-8.01
Agm (2);Agm;2236.58;2527472.24;4151250.73;-8.01;-16.11
DEM;DEM;2246.58;2527462.73;4151253.80;23.49;23.49
Rp (6);Rp;2246.58;2527462.73;4151253.80;23.49;16.66
Lbb (5);Lbb;2246.58;2527462.73;4151253.80;16.66;11.62
Sbl (12);Sbl;2246.58;2527462.73;4151253.80;11.62;9.49
Sb (10);Sb;2246.58;2527462.73;4151253.80;9.49;8.90
Sbl (2);Sbl;2246.58;2527462.73;4151253.80;8.90;7.31
P;P;2246.58;2527462.73;4151253.80;7.31;6.46
Sbl (1);Sbl;2246.58;2527462.73;4151253.80;6.46;5.36
Sb (13);Sb;2246.58;2527462.73;4151253.80;5.36;-7.79
Agm (2);Agm;2246.58;2527462.73;4151253.80;-7.79;-15.85
DEM;DEM;2256.58;2527453.13;4151256.60;24.54;24.54
Lbb (5);Lbb;2256.58;2527453.13;4151256.60;24.54;14.31
Sb (12);Sb;2256.58;2527453.13;4151256.60;14.31;13.49
Sbl (12);Sbl;2256.58;2527453.13;4151256.60;13.49;9.63
Sb (10);Sb;2256.58;2527453.13;4151256.60;9.63;8.93
Sbl (2);Sbl;2256.58;2527453.13;4151256.60;8.93;7.34
P;P;2256.58;2527453.13;4151256.60;7.34;6.30
Sb (13);Sb;2256.58;2527453.13;4151256.60;6.30;-7.38
Agm (2);Agm;2256.58;2527453.13;4151256.60;-7.38;-15.58
DEM;DEM;2266.58;2527443.44;4151259.07;25.63;25.63
Lbb (5);Lbb;2266.58;2527443.44;4151259.07;25.63;17.94
Sb (12);Sb;2266.58;2527443.44;4151259.07;17.94;15.10
Sbl (12);Sbl;2266.58;2527443.44;4151259.07;15.10;9.78
Sb (10);Sb;2266.58;2527443.44;4151259.07;9.78;9.03
Sbl (2);Sbl;2266.58;2527443.44;4151259.07;9.03;7.36
P;P;2266.58;2527443.44;4151259.07;7.36;6.09
Sb (13);Sb;2266.58;2527443.44;4151259.07;6.09;-6.77
Agm (2);Agm;2266.58;2527443.44;4151259.07;-6.77;-15.30
DEM;DEM;2276.58;2527433.67;4151261.23;26.75;26.75
Lbb (5);Lbb;2276.58;2527433.67;4151261.23;26.75;22.01
Sb (12);Sb;2276.58;2527433.67;4151261.23;22.01;17.90
Sbl (12);Sbl;2276.58;2527433.67;4151261.23;17.90;9.91
Sb (10);Sb;2276.58;2527433.67;4151261.23;9.91;9.05
Sbl (2);Sbl;2276.58;2527433.67;4151261.23;9.05;7.39
P;P;2276.58;2527433.67;4151261.23;7.39;5.85
Sb (13);Sb;2276.58;2527433.67;4151261.23;5.85;-6.09
Agm (2);Agm;2276.58;2527433.67;4151261.23;-6.09;-15.01
DEM;DEM;2286.58;2527423.84;4151263.05;27.05;27.05
Lbb (5);Lbb;2286.58;2527423.84;4151263.05;27.05;23.73
Sb (12);Sb;2286.58;2527423.84;4151263.05;23.73;21.62
Sbl (12);Sbl;2286.58;2527423.84;4151263.05;21.62;10.01
Sb (10);Sb;2286.58;2527423.84;4151263.05;10.01;9.11
Sbl (2);Sbl;2286.58;2527423.84;4151263.05;9.11;7.41
P;P;2286.58;2527423.84;4151263.05;7.41;5.59
Sb (13);Sb;2286.58;2527423.84;4151263.05;5.59;-5.26
Agm (2);Agm;2286.58;2527423.84;4151263.05;-5.26;-14.71
DEM;DEM;2296.58;2527413.96;4151264.55;27.21;27.21
Lbb (5);Lbb;2296.58;2527413.96;4151264.55;27.21;25.48
Sb (12);Sb;2296.58;2527413.96;4151264.55;25.48;23.32
Sbl (12);Sbl;2296.58;2527413.96;4151264.55;23.32;10.05
Sb (10);Sb;2296.58;2527413.96;4151264.55;10.05;9.35
Sbl (2);Sbl;2296.58;2527413.96;4151264.55;9.35;7.42
P;P;2296.58;2527413.96;4151264.55;7.42;5.60
Sb (13);Sb;2296.58;2527413.96;4151264.55;5.60;-4.06
Agm (2);Agm;2296.58;2527413.96;4151264.55;-4.06;-14.40
DEM;DEM;2306.58;2527404.02;4151265.72;27.35;27.35
Lbb (5);Lbb;2306.58;2527404.02;4151265.72;27.35;26.50
Sb (12);Sb;2306.58;2527404.02;4151265.72;26.50;24.91
Sbl (12);Sbl;2306.58;2527404.02;4151265.72;24.91;10.07
Sb (10);Sb;2306.58;2527404.02;4151265.72;10.07;9.82
Sbl (2);Sbl;2306.58;2527404.02;4151265.72;9.82;7.41
P;P;2306.58;2527404.02;4151265.72;7.41;5.64
Sb (13);Sb;2306.58;2527404.02;4151265.72;5.64;-2.13
Agm (2);Agm;2306.58;2527404.02;4151265.72;-2.13;-14.08
DEM;DEM;2316.58;2527394.06;4151266.56;29.08;29.08
Lbb (5);Lbb;2316.58;2527394.06;4151266.56;29.08;27.12
Sb (12);Sb;2316.58;2527394.06;4151266.56;27.12;25.86
Sbl (2);Sbl;2316.58;2527394.06;4151266.56;25.86;7.39
P;P;2316.58;2527394.06;4151266.56;7.39;5.64
Sb (13);Sb;2316.58;2527394.06;4151266.56;5.64;-0.27
Sbl (13);Sbl;2316.58;2527394.06;4151266.56;-0.27;-0.45
Agm (2);Agm;2316.58;2527394.06;4151266.56;-0.45;-13.76
DEM;DEM;2326.58;2527384.07;4151267.06;31.05;31.05
Lbb (5);Lbb;2326.58;2527384.07;4151267.06;31.05;27.40
Sb (12);Sb;2326.58;2527384.07;4151267.06;27.40;26.01
Sbl (2);Sbl;2326.58;2527384.07;4151267.06;26.01;7.33
P;P;2326.58;2527384.07;4151267.06;7.33;5.57
Sb (13);Sb;2326.58;2527384.07;4151267.06;5.57;1.05
Sbl (13);Sbl;2326.58;2527384.07;4151267.06;1.05;0.47
Agm (2);Agm;2326.58;2527384.07;4151267.06;0.47;-13.44
