bldg_code;depth_fondation;z_fondation;elev_med;height_overground;typology;sc_lev;pk_min;pk_max;d_min;d_max
57A;3.47;38.8;42.26795522;21;building;1;3315.795123;3325.504718;-2.646695305;9.788847457
58;1.49;39.3;40.78877343;4.5;building;1;3331.087126;3346.795454;-23.91006022;-15.37274215
59;0;42.65;42.07629821;18.5;building;1;3295.503518;3380.664484;-48.19479278;39.59514193
59A;0.76;41.8;42.56129873;3.5;building;1;3303.802463;3318.361807;-10.73654253;4.428051712
60;3.22;42.4;45.62053655;9;building;1;3349.664135;3433.519101;-8.943156118;58.60775181
60A;6.41;38;44.40675283;28;building;1;3381.788925;3416.501215;-21.47049888;5.284138996
61;0.93;41.1;42.03303148;12.5;building;1;3397.525251;3440.002179;-58.66481944;-13.34911099
62;0.17;41.6;41.76734184;5.5;building;1;3441.539878;3450.4515;-26.17372091;-18.72999172
63;0.98;45.1;46.08358736;11;building;1;3396.520241;3455.364023;9.829087443;61.68643374
64;1.73;42.85;44.58240528;10;building;1;3463.157101;3480.25012;18.82761903;27.75013105
65;2.68;40.95;43.62821924;10.5;building;1;3472.026758;3517.201931;34.83779912;60.84701157
66;6.12;36.9;43.01551969;10.8;building;1;3462.774486;3522.433987;-25.44506962;16.47957728
66A;5.13;36.9;42.02998702;10.8;building;1;3445.977137;3461.227364;-20.32285595;-9.044109812
66B;5.66;36.9;42.55853772;10.8;building;1;3440.52179;3477.93826;-15.98435369;9.924073467
66C;1.32;42;43.31821745;13.9;building;1;3473.143042;3506.740806;-3.450110542;20.60732066
66D;1.73;42;43.72839232;16;building;1;3506.740806;3525.669734;14.81570296;26.4811492
66E;6.57;36.9;43.4717951;10.8;building;1;3517.471302;3546.684788;11.77593594;28.18034069
67;1.44;39.6;41.03865806;8.5;building;1;3453.550702;3516.397004;-76.09309446;-18.54299962
68;0;43.8;42.51702629;9;building;1;3507.107807;3574.495745;-71.02505349;17.36485236
69;0.93;41.1;42.0318803;10.5;building;1;3548.080603;3604.487643;-3.331147314;33.52828413
70;1.29;39.95;41.23744671;10.5;building;1;3567.297735;3607.880917;-39.11946828;4.677503532
71;0.00;41.2;41.20424014;9.5;building;1;3599.690308;3646.396536;18.4659096;50.30753569
72;1.03;40.1;41.13250422;9.5;building;1;3611.212306;3666.697532;2.372337846;30.83414719
73;0;41.1;40.20032088;5.5;building;1;3654.062136;3672.405572;20.09985971;43.04786308
74;0;39.95;38.63791741;12;building;1;3625.682938;3698.455092;-65.33378381;-7.965301587
75;2.06;35.48;37.54164559;6;building;1;3682.602476;3737.602129;-57.60367676;1.280054053
76_1;2.83;35.75;38.58447008;35.75;building;1;3712.567152;3735.643006;-2.04671885;13.81328547
