ID;Descrizione;PK;excav_diameter;bead_thickness;taper;tail_skin_thickness;delta;gamma_muck;shield_length;pressure_max
TBM1;TBM Unica di Progetto;3376.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3386.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3396.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3406.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3416.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3426.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3436.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3446.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3456.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3466.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3476.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3486.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3496.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3506.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3516.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3526.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3536.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3546.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3556.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3566.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3576.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3586.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3596.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3606.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3616.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3626.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3636.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3646.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3656.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3666.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3676.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3686.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3696.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3706.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3716.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3726.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3736.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3746.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3756.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3766.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3776.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3786.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3796.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3806.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3816.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3826.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3836.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
