PK;bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
2150160.0;94081CI0012_01;1.0;1.0;1.0;0.00020059443189281007;4.68423021588549e-05;5.723311497379921e-05
2150160.0;94081CI0014_01;1.0;1.0;1.0;7.073008210791629e-07;2.4148162888715535e-07;5.149052600297993e-07
2150160.0;94081CI0015_01;1.0;1.0;1.0;3.21144255916506e-08;1.2512979776389851e-08;3.204848855484618e-08
2150160.0;94081CI0016_01;1.0;1.0;1.0;2.4276261592795333e-07;8.737852853918408e-08;2.0125265649281884e-07
2150160.0;94081CI0019_01;1.0;1.0;1.0;0.0021454232045876273;0.0003504305181899995;0.0001781573552193003
2150160.0;94081CI0019_02;1.0;1.0;1.0;0.0001307138011363891;3.17587300143403e-05;4.1441739034317614e-05
2150160.0;94081CI0025_01;1.0;1.0;1.0;0.0003756484081626116;8.151012839679707e-05;8.012683617553758e-05
2150160.0;94081CI0026_01;1.0;1.0;1.0;0.00010033994032338886;2.4942747540968836e-05;3.185042721666428e-05
2150160.0;94081CI0027_01;1.0;1.0;1.0;5.91189379902403e-06;1.8039063653146714e-06;3.2510395922827306e-06
2150160.0;94081CI0109_01;1.0;1.0;1.0;0.0002833102153027216;6.351009923695274e-05;6.6651097141108e-05
2150160.0;94081CI0110_01;1.0;1.0;1.0;0.0007889263913829133;0.00015500716064931712;0.0001234269693925918
2150160.0;94081CI0191_08;1.0;1.0;1.0;0.012245614992350487;0.0007094047812764326;0.0005493740870834167
2150160.0;94081CI0273_01;1.0;1.0;1.0;0.009133089946050768;0.0006916037245497926;0.00018281584142032723
2150160.0;94081CI0275_01;1.0;1.0;1.0;0.010496519028849008;0.0006916037261584696;0.0003106020802745178
2150160.0;94081CI0275_02;1.0;1.0;1.0;0.00681163701239906;0.0006761657059333002;0.000206005686280923
2150160.0;94081CI0277_01;1.0;1.0;1.0;0.011802759158821821;0.0006916037214536994;0.00044455557921034333
