Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
10;2397.904921;2464.749442;-48.40551509;-3.667053938;1.0;1.0;1.0;13.5659856709;0.786853515301;0.409218730646;0.00395673436941;290.0;404.08;0.389196774837;1.0;1.0;13.5659856709;0.786853515301;0.409218730646
10A;2437.412128;2464.628441;-36.94836068;-17.63358044;1.0;1.0;1.0;1.29992377196;0.184494631731;0.073866803853;0.00133568270811;290.0;377.3;0.370543489163;1.0;1.0;1.29992377196;0.184494631731;0.073866803853
11;2473.630141;2521.478347;-43.06179371;-3.902351124;1.0;1.0;1.0;4.09403213595;0.244412446276;0.129397144622;0.00115979219544;290.0;364.86;0.369955165536;1.0;1.0;4.09403213595;0.244412446276;0.129397144622
11A;2521.410271;2538.406312;-37.26761791;-5.348753506;1.0;1.0;1.0;5.07878537013;0.328406560056;0.135062759837;0.00152363905333;300.0;364.86;0.372320368744;1.0;1.0;5.07878537013;0.328406560056;0.135062759837
12;2408.197193;2541.689131;6.241535025;40.5257981;1.0;2.1;1.0;26.646329097;1.94896718412;0.553662057304;0.00850824242823;300.0;397.21;0.435194811671;2.1;1.0;26.646329097;1.94896718412;0.553662057304
13;2539.981757;2568.235467;-26.53055871;-3.874630282;1.0;1.0;1.0;21.5827642808;1.33951151521;0.657494108714;0.00622831056179;300.0;368.22;0.441305449794;1.0;1.0;21.5827642808;1.33951151521;0.657494108714
14;2540.551369;2558.447835;6.230877798;52.30833288;1.0;1.0;1.0;17.3349618253;1.19548814905;0.4569272546;0.00570149383094;300.0;364.86;0.439900725219;1.0;1.0;17.3349618253;1.19548814905;0.4569272546
15;2584.29098;2627.986927;-72.60339697;-4.031461087;1.0;1.0;1.0;20.3151273314;1.22953285508;0.582889219091;0.00610001197395;300.0;385.68;0.442064162753;1.0;1.0;20.3151273314;1.22953285508;0.582889219091
16;2569.892322;2618.385415;5.945134809;49.40284925;1.0;1.0;1.0;22.4087645943;1.45862932922;0.621805968289;0.00748528846512;300.0;382.0;0.442064162753;1.0;1.0;22.4087645943;1.45862932922;0.621805968289
17;2601.739729;2620.721105;11.67916997;25.31743467;1.0;1.0;1.0;13.3990023006;1.31494798396;0.407381617375;0.00700015754961;300.0;382.0;0.442064162753;1.0;1.0;13.3990023006;1.31494798396;0.407381617375
18;2632.10405;2647.684169;-7.314406752;7.932759571;1.0;1.0;1.0;21.5145274226;1.13643158535;0.729176593472;0.00607451880836;300.0;393.22;0.442064162753;1.0;1.0;21.5145274226;1.13643158535;0.729176593472
19;2631.825131;2651.868192;7.587559838;53.41100929;1.0;1.0;1.0;18.1860393181;1.27541775897;0.367213653533;0.00677479237148;300.0;393.22;0.442064162753;1.0;1.0;18.1860393181;1.27541775897;0.367213653533
20;2635.124457;2683.933031;-28.14762506;17.04728129;1.0;2.2;2.0;32.594137318;1.75507477331;1.33423174378;0.00959533004975;300.0;395.035;0.442064162753;2.2;2.0;32.594137318;1.75507477331;1.33423174378
21;2651.747567;2704.186523;-13.186064;45.48186968;1.0;2.1;1.0;21.851837923;1.17377013949;0.947497355692;0.00648454392587;300.0;395.035;0.442064162753;2.1;1.0;21.851837923;1.17377013949;0.947497355692
22;2652.333603;2684.950329;31.71824881;62.79450514;1.0;1.0;1.0;0.777631297331;0.16030104314;0.1661475094;0.00905962720816;300.0;395.035;0.442064162753;1.0;1.0;0.777631297331;0.16030104314;0.1661475094
23;2698.012997;2724.666089;3.763203782;57.92392817;1.0;2.1;1.0;28.9332335454;1.65715888179;1.04793284714;0.00907181807785;300.0;395.035;0.440398784566;2.1;1.0;28.9332335454;1.65715888179;1.04793284714
